record_key,type,size,resolution,protection
12245ec3ff125e14933c130dda863ef2622742ee18dc5c46dba7eb5ca136a75c,LCD,6.74 inch,1600 × 720,
fa945e21bfef7d74e6eb9d7f868eb448293690ebca02c4d7182dcfcefc725ac7,,,,
02fb3369208895cb4e7cadb786f3450b752a8b75ad92d7ddbca28043e7d140fb,,,,
93473da6449dbb2bc25fe4b2cd37c962fc2236695528fa9227aa6b609215114c,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),
a8d746b85f76518c05332323deb646919fb02d0e40a4575401029368496c5c69,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),
e120c525f2ffd051d6f85a97871b8ef0b839b1a2cd97fec9a420c1f0c5ea7b74,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),
d8070c799e8da81efc896fc0ac3d8f495d6ecaf59784f800e41a3c4cf147cd80,IPS LCD,6.7 Inch,720 x 1600,
d87346c9910c3a1e38ff554631a9b50c0a0cb4d39dd0b49b7f99252fafd0f5e0,LCD,6.7 Inch,720 x 1600,
079635940ae284077e0cf48c452990ca5e585634125d8ca0d4f9b85d06bbc6c2,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),
27b0b0848dd5cc6110ac8795427d28649b046f44197a158447990617cc931e74,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),
27961ee15b409a1ad4e1beabaf15cddb35355cc06baa6ae6184330e9680ac1bd,,,,
0d16d792c2eb6556680ea131aff4176cd5dce57ebc18c2d0634b593a366c7101,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),
e36674d41554823d6b335865a4582d1c81d3c697e4589c82a81eb677c405e8d6,LCD,6.7 Inch,720 x 1600,
003fc726d90bbe05591189374107c285a6b6abdc7d5c3c0d2b6c9f764b3ca4a7,IPS LCD,6.7 Inch,720 x 1600,
085987072084ed4fa2b04b9c4ff4a755b9d5e7825e61377794ec9ebb25acbc51,,,,
effb616818568f30cb03e7850908082cc8a366c70f1e0b7fad8d5c6683b09843,,,,
11c2fbbf51b2d92d80106ab99e0298c98bd1e06fa2bd89cae7705bf463506cbe,LCD,"6.7""",,
008638a16acde394bd7ad708844718d3f3ad4f177a33a205f9e7787f6a7cc11a,LCD,"6.7""",,
c766afc3cb782da099a407da975db11e86e1ef8f3db57f4ae1df4b91d951ef0e,LCD,"6.7""",,
06c6fefbe45ffac08f20de11d8c6316234c2a2f48ed63be25e15b0a41d762128,,6.7 Inch,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",
870e1bd940a633e0b13252e38bb2a8340eccbc4b7373ab5c527166b447147df7,,"2.0""",,
9c9506847e2b0e868a3a9398b492924dc25e1c4660322b45ecefd011d2a99c5b,,6.5 Inch,,
1cca672094caecd93d9a36d836263c100fe076c662ecc77a6a3570e33b0357d4,OLED,6.5 Inch,,
365b20895ae8439c657a7491a9f961abeed7a3606f9fc23ee7918a28edcf4740,,,,
82df6c8185de881525797613f2913d6eced58e9b4c3ccce2d47792c1a8240834,,,,
c401dcc4d573049ea5cfff5f6e0c710e7b74fc196c9a35f08328cac60aee9476,LCD,6.67 inches,720 x 1600,N/A
c896fc2c1401f7481d245d5c9781af5ac5ebf0ae0c433b416b25f84b918142f4,LCD,6.67 inches,720 x 1600,N/A
47de4f4695219eb6f7a6ac5f4275b36d9257633f2f12c0b52c7334eed7eb5dcd,,6.67 Inch,720 x 1600,
4bcb73e95285cdeeb8faed77b01e96907f88087b8585ae7f8a9ac2252fb77961,LCD,"6.67""",720 x 1600,
8625461d44ca6c87b14191fb090500c88c10a30dd5c2f854ffdc5ab3366d8ef0,LCD,"6.67""",720 x 1600,
bb797ac3c5bc6bc985e53e705243e205bbca074ed3f5b3d8203c7d2f7890d984,LCD,6.67 inches,720 x 1600,N/A
a1b33f03b5206067b596bb1a302b5f27b00c7e3d980dbfc22f78b1f901768d7e,,,,
96f6d03622809415f0899af4dbd947e7f51153fed784c8e4e4a8d8e7c4223980,,6.67 Inch,720 x 1600,
6aa894394dc66b21bd2f80cb827d8ed073c28b76da09a976dc498b5fcb3c5fb5,,,,
90a2b05793725d975862d45232feab7361f896c66e1c044f25dcbf050a7cae32,,"10.1""",,
05571d6a6ca8f72c52c10f2dba8c2528238b314464d026ad8805b1fe2f157302,,,,
0846c9b8ff1289b7a997884e4f92245764a7fcff77bb5258c457841bb090ed8a,,6.56 Inches,720 × 1600 Pixel,N/A
29661afc44dae854041215c7f08e23e403ef758c45e97d04ef8be3f844ef2002,IPS LCD,"6.6""",720 x 1612,
fa72d012d9828606a2e8298d85746cad8c5394366efe221838770d64b47c1984,,"6.6""",,
fd6289945b2ec5e47ba7b790937b7f6555436b8d138eb9368808b386ba391f42,IPS LCD,"8""",1280 x 800,
2687a30973582c818c5820607998d2368bf49028ae889d138f8092d7d6773098,IPS LCD,6.67 Inches,720 x 1600 pixels,N/A
6ad5b8fd3493d5c0d37d86cbf6505d7052e5793b4c86a832d9a67599b2529d09,IPS LCD,6.67 Inches,720 x 1600 pixels,N/A
b4b26ea4ffbc6171a8213978ff5edbff3d03e04dd521f3a188efd833a771adc2,IPS LCD,"6.67""",720 x 1600,
bc31032df250dc61f0b0aa3f909ce8e02822cc882602d105cb6f1d8bf7bf3fc1,IPS LCD,"6.67""",720 x 1600,
c9427ae57036956c5e66c5e8d63189f395d8c001b3f1db53e52b584815bde27c,,,,
2168d54f35a2992bd71bba90aeb4a19c8913bf4a9cada019effe02da5bfe0e17,IPS LCD,"6.6""",720 x 1600,
92d72d5607c130eede7e6e8dc375250920c88f550a96dc59c7cdefb40c7d14c5,IPS LCD,6.67 inches,720 x 1600 pixels,N/A
1f9c0d824025ef4694cf5a6640267e6645fd941f054484682b2ca6e862944b22,IPS LCD,6.67 inches,720 x 1600 pixels,N/A
dcabbc50f85a8e36e51f61ba47cdd866f377ade70da015fa55a2ac2db98488bf,IPS LCD,,720 x 1600,
dd985c545729b1760c16c82e0dff3d60c616483e8ee17b0d40b2ba04ebd3f808,,6.78 Inches,1080 x 2460 Pixels,N/A
daac54c1e4f40a96f2c95bd004e62fc491191aa495b706395583a64a07415ead,,"6.6""",,
b9313df55773cceb29840e9e174e0c05c530e0998ea4ff3f2b0ebed7913c150b,IPS LCD,6.6 Inch,720 x 1600,
9a49b7596bbd6094dc5dfafbdc16aa50ec5736b6a776383251d2a54e0159b986,IPS LCD,6.6 Inch,720 x 1600,
b78c9fffd6ce2e709a98bcc159814811582c44510b41665db1d0a9a1b0cbb126,,,,
fba4f451aab5773a8e64343510a610aaa2196f54c3dd5b7da6db4787af6225a9,,,,
1dcdd8319b3899bec27a113818f3b60bfc051e4b940121b6b62a3529a31bb28e,,,,
555f3376ec80d142601c8d1923e8c72c87cf700b388e6a2980d66386c4f6ffcb,,"6.6""",,
b943376d9a5dfe266c3584f7c04084ea20fbbf0aa8f404046b5ae8c8865f519c,,6.75 inches,720 × 1600 pixels,N/A
69451290080c089ccf677b0dd3efde222a15ef2f5cdca4ce71b1288dcff407f8,,6.75 inches,720 × 1600 pixels,N/A
941c2bdd3954607a204d0f975fb3b5b3861d87d2a6c64b7b1afc8b1711fe8694,,"6.8""",,
9ec2d4a37cc6d2ca335e15bf9a30b2589b0080a9cedbe320e493e7a2fb1e6894,,,,
af88dc669c8c14858e768014d76357ffd30b42a3e32ae7823e5e3464c8990bfb,,,,
3741627ce8d40e1de645cec2ccb915e99b8587cdb807d90e7088187e529debf4,,6.5 inch,,
945f665889b648b490aa4e1e1e309bced30fe9df6b1b44f246b4c17cf04f1598,IPS LCD,6.71 inches,720 x 1650 pixels,Corning Gorilla Glass
ca995eaf645fdc6b6098e05d6011f62ce836d1096f3639b74d1b3eeab688b187,,,,
16e511601646a0ff7b521e02f9926351a41f2738765f9243bd443f502ec3f33b,IPS LCD,6.52 inches,720 x 1600 pixels,Corning Gorilla Glass
e46c6035eab5a2340139e6a9c31aef1ce18244818552f6175c53892b8c7df17f,,,,
c3bc55323baad806e5d1decaae12cf72ff0fa3bdd9d6b7b4f2122039aa1ad058,,"1.77""",,
9312c93d8e18119a3b06487325f6c9cdd8bf23f8c3948fb601780977c9cab08d,,6.52 inches,720 ×1600 Pixels,No
ac39fcaf36808b5c60fdc58af3aec57590af0598f550f35e5bf008eb59502691,,,,
7038df85fb1bd1fee5c327f13ce7a0dbfc0553e283e0c24299cc8ce51d642bdf,,,,
