record_key,source_schema,source_site,source_file,source_url,url_recovery,data_snapshot,mobile_name,network_2g,network_3g,network_4g,network_5g,launch_announced,launch_status,body_dimensions,body_weight,body_build,body_sim,body_protection,display_type,display_size,display_resolution,display_protection,platform_os,platform_chipset,platform_cpu,platform_gpu,memory_card_slot,memory_types_json,memory_technology,main_camera_specifications_json,main_camera_features,main_camera_video_json,selfie_camera_specifications_json,selfie_camera_features,selfie_camera_video_json,sound_loudspeaker,sound_cable_jack,features_wlan,features_bluetooth,features_positioning,features_nfc,features_infrared_port,features_radio,features_usb,features_back_finger_print,features_side_finger_print,features_in_display_finger_print,features_sensors,battery_capacity,battery_wireless_charging,battery_charging_json,colors_json,exposure_weight,prices_json,completeness_score,file_sha256,payload_json
12245ec3ff125e14933c130dda863ef2622742ee18dc5c46dba7eb5ca136a75c,daraz,daraz.pk,daraz.pk/daraz__04-674-6-128-5500-1-i945028157.html.json,https://www.daraz.pk/products/04-674-6-128-5500-1-i945028157.html,filename,2026-08-15T13:06:25+00:00,Vivo Y04 - 6.74'' Dispaly 6GB RAM 128GB ROM 5500mAh Battery PTA Approved 1 Year Official Brand Warranty,true,false,true,false,,Available,,,,,,LCD,6.74 inch,1600 × 720,,Android 14,,,,,"[""6GB RAM / 128GB""]",,"[""5 MP""]",,[],[],,[],,false,,,,false,false,false,,false,false,false,,5500mAh,false,[],[],Weight Unknown,[49999.0],0.41667,f96026e77b4805fa62b38bdccd32d92fa95ed721c747384c31c09707fbdb8c42,"{""Battery"":{""Capacity"":""5500mAh"",""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":null,""Dimensions"":null,""Protection"":null,""SIM"":null,""Weight"":null},""Colors"":[],""Display"":{""Protection"":null,""Resolution"":""1600 × 720"",""Size"":""6.74 inch"",""Type"":""LCD""},""Features"":{""BackFingerPrint"":0,""Bluetooth"":null,""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":0,""Positioning"":null,""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":null,""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[""5 MP""],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""6GB RAM / 128GB""]},""MobileName"":""Vivo Y04 - 6.74'' Dispaly 6GB RAM 128GB ROM 5500mAh Battery PTA Approved 1 Year Official Brand Warranty"",""Network"":{""2G"":1,""3G"":0,""4G"":1,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":null,""GPU"":null,""OS"":""Android 14""},""Price"":[49999.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
fa945e21bfef7d74e6eb9d7f868eb448293690ebca02c4d7182dcfcefc725ac7,daraz,daraz.pk,daraz.pk/daraz__05-128gb-4gb-281113-i933093946.html.json,https://www.daraz.pk/products/05-128gb-4gb-281113-i933093946.html,filename,2026-08-15T14:00:44+00:00,Carrefour Samsung Galaxy A05 Smartphone 128GB ROM 4GB RAM Black (281113),false,false,false,false,,Available,,,,,,,,,,,,,,,"[""4GB RAM / 128GB""]",,[],,[],[],,[],,false,,,,false,false,false,,false,false,false,,,false,[],[],Weight Unknown,[30500.0],0.16667,4e49495dfe3047cb3028874b9526167df0a4ced04d25501b2010e12b0ae023b3,"{""Battery"":{""Capacity"":null,""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":null,""Dimensions"":null,""Protection"":null,""SIM"":null,""Weight"":null},""Colors"":[],""Display"":{""Protection"":null,""Resolution"":null,""Size"":null,""Type"":null},""Features"":{""BackFingerPrint"":0,""Bluetooth"":null,""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":0,""Positioning"":null,""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":null,""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""4GB RAM / 128GB""]},""MobileName"":""Carrefour Samsung Galaxy A05 Smartphone 128GB ROM 4GB RAM Black (281113)"",""Network"":{""2G"":0,""3G"":0,""4G"":0,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":null,""GPU"":null,""OS"":null},""Price"":[30500.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
02fb3369208895cb4e7cadb786f3450b752a8b75ad92d7ddbca28043e7d140fb,daraz,daraz.pk,daraz.pk/daraz__05-128gb-4gb-281115-i933104245.html.json,https://www.daraz.pk/products/05-128gb-4gb-281115-i933104245.html,filename,2026-08-15T13:18:40+00:00,Carrefour Samsung Galaxy A05 Smartphone 128GB ROM 4GB RAM Light Green (281115),false,false,false,false,,Available,,,,,,,,,,,,,,,"[""4GB RAM / 128GB""]",,[],,[],[],,[],,false,,,,false,false,false,,false,false,false,,,false,[],[],Weight Unknown,[30847.0],0.16667,999e6383650dc33ca2977b324785372b174ac959e3db3ca65b7eb405930aa9a1,"{""Battery"":{""Capacity"":null,""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":null,""Dimensions"":null,""Protection"":null,""SIM"":null,""Weight"":null},""Colors"":[],""Display"":{""Protection"":null,""Resolution"":null,""Size"":null,""Type"":null},""Features"":{""BackFingerPrint"":0,""Bluetooth"":null,""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":0,""Positioning"":null,""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":null,""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""4GB RAM / 128GB""]},""MobileName"":""Carrefour Samsung Galaxy A05 Smartphone 128GB ROM 4GB RAM Light Green (281115)"",""Network"":{""2G"":0,""3G"":0,""4G"":0,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":null,""GPU"":null,""OS"":null},""Price"":[30847.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
93473da6449dbb2bc25fe4b2cd37c962fc2236695528fa9227aa6b609215114c,daraz,daraz.pk,daraz.pk/daraz__07-25-4-128-50-67-90hz-99-6-5000mah-25w-15-7-6-i930311232.html.json,https://www.daraz.pk/products/07-25-4-128-50-67-90hz-99-6-5000mah-25w-15-7-6-i930311232.html,filename,2026-08-15T11:22:14+00:00,"Samsung Galaxy A07 With 25W Charger – 4GB RAM + 128GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging | Android 15 (OneUI 7, 6 Years Updates)",true,true,true,false,,Available,164.4 x 77.4 x 7.6 mm,184 g,OS,Nano-SIM + Nano-SIM,,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),,Android 15,Helio G99,,Mali-G57 MC2,,"[""4GB RAM / 128GB""]",,"[""50MP""]",,[],[],,[],,false,,"v5.3 with A2DP, LE","Yes + A-GPS support & Glonass, BDS",true,false,false,USB Type-C 2.0,false,false,false,,Capacity,false,[],"[""Black"",""Light Violet"",""Dark Green""]",Weight Unknown,[54999.0],0.70833,cc0d8e41e30bc0aed4e4072c36c457b5fd9d2b66d1baa212426cc2ebe78ac2c9,"{""Battery"":{""Capacity"":""Capacity"",""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":""OS"",""Dimensions"":""164.4 x 77.4 x 7.6 mm"",""Protection"":null,""SIM"":""Nano-SIM + Nano-SIM"",""Weight"":""184 g""},""Colors"":[""Black"",""Light Violet"",""Dark Green""],""Display"":{""Protection"":null,""Resolution"":""720 x 1600 Pixels (~262 PPI)"",""Size"":""6.7 Inch"",""Type"":""LCD""},""Features"":{""BackFingerPrint"":0,""Bluetooth"":""v5.3 with A2DP, LE"",""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":1,""Positioning"":""Yes + A-GPS support & Glonass, BDS"",""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":""USB Type-C 2.0"",""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[""50MP""],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""4GB RAM / 128GB""]},""MobileName"":""Samsung Galaxy A07 With 25W Charger – 4GB RAM + 128GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging | Android 15 (OneUI 7, 6 Years Updates)"",""Network"":{""2G"":1,""3G"":1,""4G"":1,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":""Helio G99"",""GPU"":""Mali-G57 MC2"",""OS"":""Android 15""},""Price"":[54999.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
a8d746b85f76518c05332323deb646919fb02d0e40a4575401029368496c5c69,daraz,daraz.pk,daraz.pk/daraz__07-25-4-64-50-67-90hz-99-6-5000mah-25w-15-7-6-i930094495.html.json,https://www.daraz.pk/products/07-25-4-64-50-67-90hz-99-6-5000mah-25w-15-7-6-i930094495.html,filename,2026-08-15T10:40:30+00:00,"Samsung Galaxy A07 With 25W Charger – 4GB RAM + 64GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging | Android 15 (OneUI 7, 6 Years Updates)",true,true,true,false,,Available,164.4 x 77.4 x 7.6 mm,184 g,OS,Nano-SIM + Nano-SIM,,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),,Android 15,Helio G99,,Mali-G57 MC2,,"[""4GB RAM / 64GB""]",,"[""50MP""]",,[],[],,[],,false,,"v5.3 with A2DP, LE","Yes + A-GPS support & Glonass, BDS",true,false,false,USB Type-C 2.0,false,false,false,,Capacity,false,[],"[""Black"",""Light Violet"",""Dark Green""]",Weight Unknown,[39999.0],0.70833,2ee89a2ce147d6a908b8a9a8f91f42268fd31c376bb10c0087da9cd0257fc5fa,"{""Battery"":{""Capacity"":""Capacity"",""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":""OS"",""Dimensions"":""164.4 x 77.4 x 7.6 mm"",""Protection"":null,""SIM"":""Nano-SIM + Nano-SIM"",""Weight"":""184 g""},""Colors"":[""Black"",""Light Violet"",""Dark Green""],""Display"":{""Protection"":null,""Resolution"":""720 x 1600 Pixels (~262 PPI)"",""Size"":""6.7 Inch"",""Type"":""LCD""},""Features"":{""BackFingerPrint"":0,""Bluetooth"":""v5.3 with A2DP, LE"",""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":1,""Positioning"":""Yes + A-GPS support & Glonass, BDS"",""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":""USB Type-C 2.0"",""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[""50MP""],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""4GB RAM / 64GB""]},""MobileName"":""Samsung Galaxy A07 With 25W Charger – 4GB RAM + 64GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging | Android 15 (OneUI 7, 6 Years Updates)"",""Network"":{""2G"":1,""3G"":1,""4G"":1,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":""Helio G99"",""GPU"":""Mali-G57 MC2"",""OS"":""Android 15""},""Price"":[39999.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
e120c525f2ffd051d6f85a97871b8ef0b839b1a2cd97fec9a420c1f0c5ea7b74,daraz,daraz.pk,daraz.pk/daraz__07-25-6-128-50-67-90hz-99-6-5000mah-25w-15-7-6-i930103454.html.json,https://www.daraz.pk/products/07-25-6-128-50-67-90hz-99-6-5000mah-25w-15-7-6-i930103454.html,filename,2026-08-15T11:15:45+00:00,"Samsung Galaxy A07 With 25W Charger – 6GB RAM + 128GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging | Android 15 (OneUI 7, 6 Years Updates)",true,true,true,false,,Available,164.4 x 77.4 x 7.6 mm,184 g,OS,Nano-SIM + Nano-SIM,,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),,Android 15,Helio G99,,Mali-G57 MC2,,"[""6GB RAM / 128GB""]",,"[""50MP""]",,[],[],,[],,false,,"v5.3 with A2DP, LE","Yes + A-GPS support & Glonass, BDS",true,false,false,USB Type-C 2.0,false,false,false,,Capacity,false,[],"[""Black"",""Light Violet"",""Dark Green""]",Weight Unknown,[65999.0],0.70833,3691db08fcf313bb3e6aae1107c12321313b1cf8ff3dc29d8c7aba498cfe0e94,"{""Battery"":{""Capacity"":""Capacity"",""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":""OS"",""Dimensions"":""164.4 x 77.4 x 7.6 mm"",""Protection"":null,""SIM"":""Nano-SIM + Nano-SIM"",""Weight"":""184 g""},""Colors"":[""Black"",""Light Violet"",""Dark Green""],""Display"":{""Protection"":null,""Resolution"":""720 x 1600 Pixels (~262 PPI)"",""Size"":""6.7 Inch"",""Type"":""LCD""},""Features"":{""BackFingerPrint"":0,""Bluetooth"":""v5.3 with A2DP, LE"",""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":1,""Positioning"":""Yes + A-GPS support & Glonass, BDS"",""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":""USB Type-C 2.0"",""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[""50MP""],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""6GB RAM / 128GB""]},""MobileName"":""Samsung Galaxy A07 With 25W Charger – 6GB RAM + 128GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging | Android 15 (OneUI 7, 6 Years Updates)"",""Network"":{""2G"":1,""3G"":1,""4G"":1,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":""Helio G99"",""GPU"":""Mali-G57 MC2"",""OS"":""Android 15""},""Price"":[65999.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
d8070c799e8da81efc896fc0ac3d8f495d6ecaf59784f800e41a3c4cf147cd80,daraz,daraz.pk,daraz.pk/daraz__07-4-128-5000mah-i934316674.html.json,https://www.daraz.pk/products/07-4-128-5000mah-i934316674.html,filename,2026-08-15T11:22:04+00:00,Samsung Galaxy A07 || 4GB Ram 128GB Rom || 5000mAh Battery,false,false,false,false,,Available,,,,,,IPS LCD,6.7 Inch,720 x 1600,,,Helio G99GPUMali-G57,,,,"[""4GB Ram / 128GB""]",,"[""8 MP""]",,[],[],,[],,false,,,,false,false,false,,false,false,false,,5000mAh,false,[],[],Weight Unknown,[48999.0],0.41667,55b2b63b1a7b6216cf68b03ae10f16f315271218283358b57069c2e0ba2ed0d8,"{""Battery"":{""Capacity"":""5000mAh"",""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":null,""Dimensions"":null,""Protection"":null,""SIM"":null,""Weight"":null},""Colors"":[],""Display"":{""Protection"":null,""Resolution"":""720 x 1600"",""Size"":""6.7 Inch"",""Type"":""IPS LCD""},""Features"":{""BackFingerPrint"":0,""Bluetooth"":null,""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":0,""Positioning"":null,""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":null,""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[""8 MP""],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""4GB Ram / 128GB""]},""MobileName"":""Samsung Galaxy A07 || 4GB Ram 128GB Rom || 5000mAh Battery"",""Network"":{""2G"":0,""3G"":0,""4G"":0,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":""Helio G99GPUMali-G57"",""GPU"":null,""OS"":null},""Price"":[48999.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
d87346c9910c3a1e38ff554631a9b50c0a0cb4d39dd0b49b7f99252fafd0f5e0,daraz,daraz.pk,daraz.pk/daraz__07-4-64-128-5000-50-2-i924652536.html.json,https://www.daraz.pk/products/07-4-64-128-5000-50-2-i924652536.html,filename,2026-08-15T10:10:34+00:00,Samsung Galaxy A07 4GB RAM 64GB/4GB RAM128GB ROM 5000 mAh Battery 50 MP + 2 MP Back Camera ONE YEAR BRAND WARRANTY,true,true,true,false,,Available,,,,,,LCD,6.7 Inch,720 x 1600,,Android 15,Helio G99,,,,"[""4GB RAM / 128GB""]",,"[""50 MP + 2 MP""]",,[],[],,[],,false,,,,false,false,false,,false,false,false,,5000 mAh,false,[],[],Weight Unknown,[50000.0],0.45833,f393ce9dc4c01eeba79d45a7d772a725af5ff2624c17a49e9885a4556817fe47,"{""Battery"":{""Capacity"":""5000 mAh"",""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":null,""Dimensions"":null,""Protection"":null,""SIM"":null,""Weight"":null},""Colors"":[],""Display"":{""Protection"":null,""Resolution"":""720 x 1600"",""Size"":""6.7 Inch"",""Type"":""LCD""},""Features"":{""BackFingerPrint"":0,""Bluetooth"":null,""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":0,""Positioning"":null,""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":null,""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[""50 MP + 2 MP""],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""4GB RAM / 128GB""]},""MobileName"":""Samsung Galaxy A07 4GB RAM 64GB/4GB RAM128GB ROM 5000 mAh Battery 50 MP + 2 MP Back Camera ONE YEAR BRAND WARRANTY"",""Network"":{""2G"":1,""3G"":1,""4G"":1,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":""Helio G99"",""GPU"":null,""OS"":""Android 15""},""Price"":[50000.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
079635940ae284077e0cf48c452990ca5e585634125d8ca0d4f9b85d06bbc6c2,daraz,daraz.pk,daraz.pk/daraz__07-4-64-50-67-90hz-99-i914995982.html.json,https://www.daraz.pk/products/07-4-64-50-67-90hz-99-i914995982.html,filename,2026-08-15T11:02:54+00:00,Samsung Galaxy A07 4GB RAM + 64GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99,true,true,true,false,,Available,164.4 x 77.4 x 7.6 mm,184 g,OS,Nano-SIM + Nano-SIM,,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),,,Helio G99,,Mali-G57 MC2,,"[""4GB RAM / 64GB""]",,"[""50MP""]",,[],[],,[],,false,,"v5.3 with A2DP, LE","Yes + A-GPS support & Glonass, BDS",true,false,false,USB Type-C 2.0,false,false,false,,Capacity,false,[],"[""Black"",""Light Violet"",""Dark Green""]",Weight Unknown,[44999.0],0.66667,756be15918a58ea8e40dadb3bbc69df5e1ce01fa32941ad75dfd48e9fcaaf639,"{""Battery"":{""Capacity"":""Capacity"",""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":""OS"",""Dimensions"":""164.4 x 77.4 x 7.6 mm"",""Protection"":null,""SIM"":""Nano-SIM + Nano-SIM"",""Weight"":""184 g""},""Colors"":[""Black"",""Light Violet"",""Dark Green""],""Display"":{""Protection"":null,""Resolution"":""720 x 1600 Pixels (~262 PPI)"",""Size"":""6.7 Inch"",""Type"":""LCD""},""Features"":{""BackFingerPrint"":0,""Bluetooth"":""v5.3 with A2DP, LE"",""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":1,""Positioning"":""Yes + A-GPS support & Glonass, BDS"",""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":""USB Type-C 2.0"",""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[""50MP""],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""4GB RAM / 64GB""]},""MobileName"":""Samsung Galaxy A07 4GB RAM + 64GB Storage | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99"",""Network"":{""2G"":1,""3G"":1,""4G"":1,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":""Helio G99"",""GPU"":""Mali-G57 MC2"",""OS"":null},""Price"":[44999.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
27b0b0848dd5cc6110ac8795427d28649b046f44197a158447990617cc931e74,daraz,daraz.pk,daraz.pk/daraz__07-4128-50-67-90hz-99-6-5000mah-25w-i915057354.html.json,https://www.daraz.pk/products/07-4128-50-67-90hz-99-6-5000mah-25w-i915057354.html,filename,2026-08-15T10:51:41+00:00,Samsung Galaxy A07 4/128 | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging,true,true,true,false,,Available,164.4 x 77.4 x 7.6 mm,184 g,OS,Nano-SIM + Nano-SIM,,LCD,6.7 Inch,720 x 1600 Pixels (~262 PPI),,,Helio G99,,Mali-G57 MC2,,"[""4GB RAM""]",,"[""50MP""]",,[],[],,[],,false,,"v5.3 with A2DP, LE","Yes + A-GPS support & Glonass, BDS",true,false,false,USB Type-C 2.0,false,false,false,,Capacity,false,[],"[""Black"",""Light Violet"",""Dark Green""]",Weight Unknown,[49999.0],0.66667,b4dcec2a94c721f54e4b3ed3277ead81e747b89663b528b184848407c4b5b72a,"{""Battery"":{""Capacity"":""Capacity"",""Charging"":[],""WirelessCharging"":0},""Body"":{""Build"":""OS"",""Dimensions"":""164.4 x 77.4 x 7.6 mm"",""Protection"":null,""SIM"":""Nano-SIM + Nano-SIM"",""Weight"":""184 g""},""Colors"":[""Black"",""Light Violet"",""Dark Green""],""Display"":{""Protection"":null,""Resolution"":""720 x 1600 Pixels (~262 PPI)"",""Size"":""6.7 Inch"",""Type"":""LCD""},""Features"":{""BackFingerPrint"":0,""Bluetooth"":""v5.3 with A2DP, LE"",""InDisplayFingerPrint"":0,""Infrared port"":0,""NFC"":1,""Positioning"":""Yes + A-GPS support & Glonass, BDS"",""Radio"":0,""Sensors"":null,""SideFingerPrint"":0,""USB"":""USB Type-C 2.0"",""WLAN"":null},""Launch"":{""Announced"":null,""Status"":""Available""},""Main Camera"":{""Features"":null,""Specifications"":[""50MP""],""Video"":[]},""Memory"":{""Card slot"":null,""Technology"":null,""Types"":[""4GB RAM""]},""MobileName"":""Samsung Galaxy A07 4/128 | 50MP Dual Camera | 6.7” 90Hz Display | Helio G99 (6nm) | 5000mAh Battery 25W Fast Charging"",""Network"":{""2G"":1,""3G"":1,""4G"":1,""5G"":0},""Platform"":{""CPU"":null,""Chipset"":""Helio G99"",""GPU"":""Mali-G57 MC2"",""OS"":null},""Price"":[49999.0],""Selfie Camera"":{""Features"":null,""Specifications"":[],""Video"":[]},""Sound"":{""3.5mm jack"":0,""Loudspeaker"":null},""Weight"":null}"
