record_key,dimensions,weight,build,sim,protection
0af0834a9b0030fa27d5c862c19ef84c8396626b06629dfeefa3236307e2a65b,159.9 x 76.7 x 8.3 mm,221 g,"Glass front, glass back, titanium frame (grade 5)",Nano-SIM + eSIM + eSIM (max 2 at a time; International),IP68 dust tight and water resistant (immersible up to 6m for 30 min)
06196e63ddee837e16c691bb9cae491af10bb4f5b9e0ebb198d10f127449b7f8,147.6 x 71.6 x 7.8 mm,171 g,"Glass front, glass back, aluminum frame",Nano-SIM + eSIM + eSIM (max 2 at a time; International),IP68 dust tight and water resistant (immersible up to 6m for 30 min)
c0860ba81428f4d058c75cb5bfb41dde468ba46c59058d72c5ee7d602fd61891,149.6 x 71.5 x 8.3 mm,199 g,"Glass front (Ceramic Shield), glass back, titanium frame (grade 5)",Nano-SIM,IP68 dust tight and water resistant (immersible up to 6m for 30 min)
d096ec39921c9807f2684b2d1fd5df12ca441cda63984e48d229fe1326096b62,147.6 x 71.6 x 7.8 mm,170 g,"Glass front (Ceramic Shield), glass back, aluminum frame",Nano-SIM,IP68 dust tight and water resistant (immersible up to 6m for 30 min)
2bfd91b88fe8d14165f0013ba2d382a70cae44c47d9a6c0752d3d0f8595412f4,163.4 x 78 x 8.8 mm,233 g,"Glass front (Ceramic Shield 2), aluminum frame, aluminum back/ glass back (Ceramic Shield)",Nano-SIM,IP68 dust tight and water resistant (immersible up to 6m for 30 min)
2cdc6e69eb9a87f0adfb93114e4d62677d475d8ee6d7b39f9f39afe9122fdeef,150 x 71.9 x 8.8 mm,206 g,"Glass front (Ceramic Shield 2), aluminum frame, aluminum back/ glass back (Ceramic Shield)",Nano-SIM,IP68 dust tight and water resistant (immersible up to 6m for 30 min)
db0d1f96c359212873bcfd0236cab15e7f773d60991124a69ce6f7c4afebbc75,"Folded, Unfolded",,Back: Gorilla Glass Victus 2,"Dual SIM (Nano-SIM, dual stand-by)","Water resistant, Dust proof"
5541c9cf5d6150ad083e5c2a56d08b025471760ee254e45784c1c33af84fb665,,226 g,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + eSIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
1df445ca2ed8807917645dd112528d85c5706c05acf00dac1523568e3ada7c2c,,,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + eSIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
b9aeaf3a1e004952252adcea5d0301679f4222c45835ceb9dd6521d5b4b8b3bc,152.8 x 72 x 8.6 mm,204 g,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + eSIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
