record_key,type,size,resolution,protection
0af0834a9b0030fa27d5c862c19ef84c8396626b06629dfeefa3236307e2a65b,120Hz,6.7 inches,1290 x 2796 pixels,Ceramic Shield glass
06196e63ddee837e16c691bb9cae491af10bb4f5b9e0ebb198d10f127449b7f8,60Hz,6.1 inches,1179 x 2556 pixels,Ceramic Shield glass
c0860ba81428f4d058c75cb5bfb41dde468ba46c59058d72c5ee7d602fd61891,120Hz,6.3 inches,1206 x 2622 pixels (~460 ppi),"Ceramic Shield glass (2024 gen), Mohs level 4"
d096ec39921c9807f2684b2d1fd5df12ca441cda63984e48d229fe1326096b62,60Hz,6.1 inches,1179 x 2556 pixels (~460 ppi),"Ceramic Shield glass (2024 gen), Mohs level 4"
2bfd91b88fe8d14165f0013ba2d382a70cae44c47d9a6c0752d3d0f8595412f4,120Hz,6.9 inches,1320 x 2868 pixels,"Ceramic Shield 2, Mohs level 5"
2cdc6e69eb9a87f0adfb93114e4d62677d475d8ee6d7b39f9f39afe9122fdeef,120Hz,6.3 inches,1206 x 2622 pixels,Ceramic Shield 2
db0d1f96c359212873bcfd0236cab15e7f773d60991124a69ce6f7c4afebbc75,120Hz,8.0 inches,2076x2160 px,"Corning Gorilla Glass, Glass Victus 2"
5541c9cf5d6150ad083e5c2a56d08b025471760ee254e45784c1c33af84fb665,120Hz,6.8 inches,1344 x 2992 pixels (~482 ppi),Corning Gorilla Glass Victus 2
1df445ca2ed8807917645dd112528d85c5706c05acf00dac1523568e3ada7c2c,120Hz,6.3 inches,1280 x 2856 pixels (~497 ppi),Corning Gorilla Glass Victus 2
b9aeaf3a1e004952252adcea5d0301679f4222c45835ceb9dd6521d5b4b8b3bc,120Hz,6.3 inches,1280 x 2856 pixels (~497 ppi),Corning Gorilla Glass Victus 2
5749518c03f439501c7fb2d6302ccc16ac9eddff3c549dc61a99707a5b14e241,90Hz,6.4 inches,1080 x 2400 pixels,Corning Gorilla Glass Victus
6ee5434d383071c3946cfa40a5d0f00af72264ee72e3737c29cb5fe63bd59ebe,120Hz,6.3 inches,"1280 x 2856 pixels, 20:9 ratio (~495 ppi density)","Corning Gorilla Glass Victus 2, Mohs level 4"
5026d9034ab88e6a612d214368c63e860c3610797bc4a44be3569f2ec1ef72e8,120Hz,6.8 inches,1280 x 2800 pixels (~453 ppi),"NanoCrystal Shield, Mohs level 5"
7f7ace3bec0293b57346513f8ac8dd362dbf54ed56185f68768a9c685550ff15,120Hz,6.8 inches,1280 x 2788 pixels (~451 ppi),Not Announced
f240745169b1a082c5fbc782f4aacccdd6b993b16e55688fa14fc11fff656772,90Hz,6.82 inches,720 x 1640 pixels (~263 ppi),-
9ecbee5b3fcf21a88e08df109fd0e68b88bd60887eaf9cf875414a726dd2efaf,120Hz,6.78 inches,1080 x 2460 pixels (~396 ppi),
e63e275d01f005f86f4b4d558fab50d0250bcf149f3ed858677b23a95c4b0688,90Hz,6.56 inches,720 x 1612 pixels (~269 ppi),-
74eac418ee3d40fdc6507785b17b5f3c223561f85228295530179d84b62b8f42,144Hz,6.76 inches,1080 x 2344 pixels,IPS LCD
13fab7900804959e2b23c6a8d601f77f01abaa6b58b5dd3f15097f6057ea3910,120Hz,6.78 inches,720 x 1576 pixels (~256 ppi),
7e8c91315e2751131a8fbd82592fa6628b861596f9de1002fb773416938d064e,120Hz,6.67 inches,1080 x 2400 pixels (~395 ppi),
1ca286a5dfafe4cfb3e21376fb9e2fb1d80d08bac9f05e93681b22dd135a0da5,120Hz,6.78 inches,1080 x 2436 pixels (~393 ppi),Corning Gorilla Glass
1809edbf46e9320d182f3d2dfc7202d72096bc67598559bb5f2635af4441382c,120Hz,6.78 inches,1080 x 2436 pixels (~393 ppi),Corning Gorilla Glass
127b86b3b003198ee601f290106acad35c0637bf08de9d4dcff2a7ee04380899,120Hz,6.78 inches,720 x 1600 pixels (~259 ppi),
e1390c2cbafdedd71bbf06bcb519c4a6e59129ced85689554fb817ea0b8adcc3,90Hz,6.6 inches,720 x 1612 pixels (~267 ppi),
a36f08a596827990459f92aa06fc4fc0ca5a6ec61e2384747a6994b1da97ea09,90Hz,6.6 inches,720 x 1612 pixels (~267 ppi),
e7a4577fb3f945edfabdedd34e667dcbf569b736d68f180aa8ffdad20ee2e944,120Hz,6.7 inches,720 x 1600 pixels (~262 ppi),
152e829ac65b28b3c5c627b47d7d95c971feb5f83d39300809427f3a10b5120b,144Hz,6.78 inches,1080 x 2400 pixels,Corning Gorilla Glass 5
4943b8dbafcffdb862701380603703e7d96513059e1a6f26a8ec04189d979dd0,60Hz,6.1 inches,1170 x 2532 pixels (~460 ppi),Ceramic Shield glass
8f807756ab75c0b0e08d51dd5f5518741058d35552ada025111b98a5efed8e93,60Hz,6.1 inches,1170 x 2532 pixels (~460 ppi),Ceramic Shield glass
b0e9282ea87e56d49ffbc282e8d46544aea773c147fdabd68f84ab30c038c01c,60Hz,6.7 inches,1290 x 2796 pixels (~460 ppi),Ceramic Shield glass
f5c0168081a025c1f71da889bc9b5659f09b36a3465cd81aac705379ee9f869f,120Hz,6.9 inches,1320 x 2868 pixels (~460 ppi),Ceramic Shield 2
2d0b0b72b2ad0752777354bec00cb7cf3564b072d08c4aa9dfa410c0e52c4097,60Hz,6.6 inches,720 x 1612 Pixels (~267 PPI),-
388c001a6ee3a4502122951106624535c0fb164e41ff787a0db6271dbe0d9f4c,60Hz,6.3 inches,720 x 1520 pixels (~267 ppi),_
17922b12bf621dc05b225857fa15777140243d113932d5780b0b9b5866e25965,60Hz,6.6 inches,720 x 1612 pixels (~267 ppi),N/A
994520575d5580547ea7d090e3118a52dd60f579ac91316c331d6bb398facc4d,N/A,2.4 inches,N/A,N/A
a6860572b22d3702b81231c2a53be5263e3f0f0ea287d97d2efd440b5ed8817e,90Hz,6.6 inches,720 x 1612 pixels (~267 ppi),
97d3bd819fdc0a391154449727a68761a793ce547b49e92ad6f00f9a38e9f79f,120Hz,6.78 inches,720 x 1576 pixels (~256 ppi),
012fe72c161b3c4165cd30f7837da682a14ed7889900de9e1b91b420340ebc6f,60Hz,6.78 inches,1080 x 2400 pixels (~388 ppi),Corning Gorilla Glass 5
4b6748eeff86c9be0261dbe7bd33d9018ebefb6579b62b900c1ba74abfa50401,90Hz,6.6 inches,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",-
79ca26acd14a2ce3dd948f0874968c622244356ada818abb169af3d7f38f0491,120Hz,6.78 inches,1272 x 2772 pixels (~450 ppi),"Corning Gorilla Glass 7i, Mohs level 4"
851afc357823cdda4a9a42ca5f0d4c0e118d43155b2a9005f1d89b5a6d1030f5,90Hz,6.5 inches,720 x 1600 pixels (~270 ppi),-
42aeffe211dcca3faf7e1c777534538bd5c171754b5d06210a08962356b556a9,60Hz,6.52 inches,720 x 1600 pixels (~269 ppi),Corning Gorilla Glass 3
93ee8dadac86e6ab7b20ad6356d9c9a8779519ce6de45e7f370d098af97a6d59,60Hz,6.52 inches,720 x 1600 pixels (~269 ppi),Corning Gorilla Glass 3
b7a58e69da0f3277a1cafafdbfaf6d039e37c2001f1bde4fdfec102f392222a7,60Hz,6.56 inches,720 x 1612 pixels,-
447c68d038da2f7ed01920664a5691a8d1fd108661fe32c3ec550d0b5e522090,90Hz,6.56 inches,720 x 1612 pixels (~269 ppi),-
b86adff8e7e5483cb6073189fe7cb72955beb4eaa0aaa5617d476906e2e70fb5,90Hz,6.56 inches,720 x 1612 pixels (~269 ppi),-
42d20c08ebb7ab8a67ae474e592dcc7710f9e3064b3f97c7b42adffff2e5ce49,90Hz,6.56 inches,720 x 1612 pixels (~269 ppi),Panda glass
a33a25ab4c102d4fb875fa71246a1bf27aa07b37e2f30b2f61e3c75a088e5647,90Hz,6.59 inches,1080 x 2412 pixels (~401 ppi),-
99a675d340236d3680ac1c71009dda172317439aa8a28ed781eaebd8535a670d,90Hz,6.43 inches,1080 x 2400 pixels,Corning Gorilla Glass 5
290eda6ec340f96f3659a4e01214ebf99991c2e82c7baf4565f457e6108142fa,120Hz,6.7 inches,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Asahi Glass AGC DT-Star2
