record_key,2g,3g,4g,5g
0af0834a9b0030fa27d5c862c19ef84c8396626b06629dfeefa3236307e2a65b,true,true,true,true
06196e63ddee837e16c691bb9cae491af10bb4f5b9e0ebb198d10f127449b7f8,true,true,true,true
c0860ba81428f4d058c75cb5bfb41dde468ba46c59058d72c5ee7d602fd61891,true,true,true,true
d096ec39921c9807f2684b2d1fd5df12ca441cda63984e48d229fe1326096b62,true,true,true,true
2bfd91b88fe8d14165f0013ba2d382a70cae44c47d9a6c0752d3d0f8595412f4,true,true,true,true
2cdc6e69eb9a87f0adfb93114e4d62677d475d8ee6d7b39f9f39afe9122fdeef,true,true,true,true
db0d1f96c359212873bcfd0236cab15e7f773d60991124a69ce6f7c4afebbc75,false,false,true,true
5541c9cf5d6150ad083e5c2a56d08b025471760ee254e45784c1c33af84fb665,true,true,true,true
1df445ca2ed8807917645dd112528d85c5706c05acf00dac1523568e3ada7c2c,true,true,true,true
b9aeaf3a1e004952252adcea5d0301679f4222c45835ceb9dd6521d5b4b8b3bc,true,true,true,true
5749518c03f439501c7fb2d6302ccc16ac9eddff3c549dc61a99707a5b14e241,true,true,true,true
6ee5434d383071c3946cfa40a5d0f00af72264ee72e3737c29cb5fe63bd59ebe,true,true,true,true
5026d9034ab88e6a612d214368c63e860c3610797bc4a44be3569f2ec1ef72e8,true,true,true,true
7f7ace3bec0293b57346513f8ac8dd362dbf54ed56185f68768a9c685550ff15,true,true,true,true
f240745169b1a082c5fbc782f4aacccdd6b993b16e55688fa14fc11fff656772,true,true,true,false
9ecbee5b3fcf21a88e08df109fd0e68b88bd60887eaf9cf875414a726dd2efaf,true,true,true,false
e63e275d01f005f86f4b4d558fab50d0250bcf149f3ed858677b23a95c4b0688,true,true,true,false
74eac418ee3d40fdc6507785b17b5f3c223561f85228295530179d84b62b8f42,true,true,true,true
13fab7900804959e2b23c6a8d601f77f01abaa6b58b5dd3f15097f6057ea3910,true,true,true,false
7e8c91315e2751131a8fbd82592fa6628b861596f9de1002fb773416938d064e,true,true,true,false
1ca286a5dfafe4cfb3e21376fb9e2fb1d80d08bac9f05e93681b22dd135a0da5,true,true,true,true
1809edbf46e9320d182f3d2dfc7202d72096bc67598559bb5f2635af4441382c,true,true,true,false
127b86b3b003198ee601f290106acad35c0637bf08de9d4dcff2a7ee04380899,true,true,true,false
e1390c2cbafdedd71bbf06bcb519c4a6e59129ced85689554fb817ea0b8adcc3,true,true,true,false
