record_key,os,chipset,cpu,gpu
0af0834a9b0030fa27d5c862c19ef84c8396626b06629dfeefa3236307e2a65b,"iOS 17, upgradable to iOS 26.6",Apple A17 Pro (3 nm),Hexa-core (2x3.78 GHz + 4x2.11 GHz),Apple GPU (6-core graphics)
06196e63ddee837e16c691bb9cae491af10bb4f5b9e0ebb198d10f127449b7f8,"iOS 17, upgradable to iOS 26.6",Apple A16 Bionic (4 nm),Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics)
c0860ba81428f4d058c75cb5bfb41dde468ba46c59058d72c5ee7d602fd61891,"iOS 18, upgradable to iOS 26.6",Apple A18 Pro (3 nm),Hexa-core (2x4.05 GHz + 4x2.42 GHz),Apple GPU (6-core graphics)
d096ec39921c9807f2684b2d1fd5df12ca441cda63984e48d229fe1326096b62,"iOS 18, upgradable to iOS 26.6",Apple A18 (3 nm),Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (5-core graphics)
2bfd91b88fe8d14165f0013ba2d382a70cae44c47d9a6c0752d3d0f8595412f4,"iOS 26, upgradable to iOS 26.6",Apple A19 Pro (3 nm),Hexa-core (2x4.26 GHz + 4x2.60 GHz),Apple GPU (6-core graphics)
2cdc6e69eb9a87f0adfb93114e4d62677d475d8ee6d7b39f9f39afe9122fdeef,"iOS 26, upgradable to iOS 26.6",Apple A19 Pro (3 nm),Hexa-core (2x4.26 GHz + 4x2.60 GHz),Apple GPU (6-core graphics)
db0d1f96c359212873bcfd0236cab15e7f773d60991124a69ce6f7c4afebbc75,Android v17,Google Tensor G6,"Hepta Core (4.11 GHz, Single core, Arm C1-Ultra + 3.38 GHz, Quad core, ARM C1-Pro + 2.65 GHz, Dual core, ARM C1-Pro)",PowerVR CXTP-48-1536
5541c9cf5d6150ad083e5c2a56d08b025471760ee254e45784c1c33af84fb665,"Android 17, up to 7 major OS updates",Google Tensor G6 (2 nm),,
1df445ca2ed8807917645dd112528d85c5706c05acf00dac1523568e3ada7c2c,"Android 17, up to 7 major OS updates",Google Tensor G6 (2 nm),,
b9aeaf3a1e004952252adcea5d0301679f4222c45835ceb9dd6521d5b4b8b3bc,"Android 17, up to 7 major OS updates",Google Tensor G6 (2 nm),"Hepta Core (4.11 GHz, Single core, Arm C1-Ultra + 3.38 GHz, Quad core, ARM C1-Pro + 2.65 GHz, Dual core, ARM C1-Pro)",PowerVR DXT-48-1536
5749518c03f439501c7fb2d6302ccc16ac9eddff3c549dc61a99707a5b14e241,"Android 12, upgradable to Android 16, up to 5 major OS updates",Google Tensor (5 nm),Octa-core (2x2.80 GHz Cortex-X1 & 2x2.25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55),Mali-G78 MP20
6ee5434d383071c3946cfa40a5d0f00af72264ee72e3737c29cb5fe63bd59ebe,"Android 14, upgradable to Android 16, up to 7 major Android upgrades",Google Tensor G4 (4 nm),Octa-core (1x3.1 GHz Cortex-X4 & 3x2.6 GHz Cortex-A720 & 4x1.92 GHz Cortex-A520),Mali-G715 MC7
5026d9034ab88e6a612d214368c63e860c3610797bc4a44be3569f2ec1ef72e8,"Android 15, upgradable to Android 16",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830
7f7ace3bec0293b57346513f8ac8dd362dbf54ed56185f68768a9c685550ff15,"Android 16, MagicOS 10",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840
f240745169b1a082c5fbc782f4aacccdd6b993b16e55688fa14fc11fff656772,"Android 13, XOS 12.6",Mediatek MT6765 Helio G37 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320
9ecbee5b3fcf21a88e08df109fd0e68b88bd60887eaf9cf875414a726dd2efaf,"Android 13, XOS 13.5",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
e63e275d01f005f86f4b4d558fab50d0250bcf149f3ed858677b23a95c4b0688,"Android 13, XOS 13",Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
74eac418ee3d40fdc6507785b17b5f3c223561f85228295530179d84b62b8f42,"Android 16, up to 3 major OS updates, XOS 16",Mediatek Dimensity 7100 (6 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC2
13fab7900804959e2b23c6a8d601f77f01abaa6b58b5dd3f15097f6057ea3910,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Helio G100 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G52 MC2
7e8c91315e2751131a8fbd82592fa6628b861596f9de1002fb773416938d064e,"Android 13, XOS 13",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
1ca286a5dfafe4cfb3e21376fb9e2fb1d80d08bac9f05e93681b22dd135a0da5,"Android 14, XOS 14",Mediatek Dimensity 7020 (6 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256
1809edbf46e9320d182f3d2dfc7202d72096bc67598559bb5f2635af4441382c,"Android 14, XOS 14",Mediatek Helio G99 Ultimate,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
127b86b3b003198ee601f290106acad35c0637bf08de9d4dcff2a7ee04380899,"Android 16, XOS 16",Mediatek Helio G81 Ultimate (12 nm),Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G52 MC2
e1390c2cbafdedd71bbf06bcb519c4a6e59129ced85689554fb817ea0b8adcc3,"Android 13 (Go edition), XOS 13",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320
