record_key,dimensions,weight,build,sim,protection
2ff9bcefb0e9101e8c87f9d916bca904c38a67742bafe1d78560220576dedfa0,115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in),72 g (2.54 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",Flashlight
f6f0d9a3732eb0a711d64fbf9d3deee3e936608687286e95a5ff4706cefaa446,115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in),70 g (2.47 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",Flashlight
1a26dce1d3fb5f50d79971d005288fa2f7625d3bba4841cdccac033b69497bea,115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),78.7 g (2.75 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",Flashlight | Splash resistant
59e6dba6d05069419ad28a713472da49434334f9c8050892d5892740ec232f98,115.5 x 49.5 x 14 mm (4.55 x 1.95 x 0.55 in),77.5 g (2.75 oz),,"Dual SIM (Mini-SIM, dual stand-by)",Splash resistant
e425144be5d164e40343f05c6c2344c725944654b56a5bf308a888e9673c4020,121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),93 g (3.28 oz),,· Nano-SIM | · Nano-SIM + Nano-SIM,Flashlight | Splash resistant
d5704e2e652f548bb4106b9f279e4105f15dac0f7e4ecc64df8fcbe83128f172,121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),93 g (3.28 oz),,· Nano-SIM | · Nano-SIM + Nano-SIM,Flashlight | IP54 dust protected and water resistant (water splashes)
601d583ba37308429cf8bbd586fb307e002347926d6f95bbc03f0a33c3eb6e1c,115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),79.4 g (2.79 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",Flashlight | Splash resistant
99699a2b7d31f74cc1f0c7e4a511c121c6ea7ae59220437d4a0c3b315a711ec5,121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),93 g (3.28 oz),,· Nano-SIM | · Nano-SIM + Nano-SIM,Flashlight | Splash resistant
e2cd098900041be0afd5bb8c6b587e967ab6b2323e23efc89a89c13959036c4e,126.1 x 50.5 x X.X mm,93 g (3.28 oz),,Nano-SIM + Nano-SIM,Flashlight
079bebf62853188137f14b82cdd39edd3ed91e1994f8588f2a201908b8e3b2a8,-,-,,"Dual SIM (Mini-SIM, dual stand-by)",Flashlight
27107a35abd98e4924bd16e620d210e2cc1dd616c8f5078b239587008e2642c8,115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),79.6 g (2.82 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",Flashlight | Splash resistant
1a1fc9af93d0effd2f4a48623e5cb049404cb7527963f1348b059dc8527baa2a,121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),94.5 g (3.35 oz),,· Nano-SIM | · Nano-SIM + Nano-SIM,Flashlight | Splash resistant
87e686bc0c1ccf2583f6d0eed2877c1714cdc1f5bad53219ff65ce60aaf8c3b3,-,-,,Nano-SIM + Nano-SIM,Flashlight
82123ce0b6d08cc728fcc10094cf54b39979efa902316c06be96093b40a627e4,121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),94.5 g (3.35 oz),,· Nano-SIM | · Nano-SIM + Nano-SIM,Flashlight | IP54 dust protected and water resistant (water splashes)
c1e193f391b37122ffb17432aaa8e068e5b625e25f3c37924fc74b902b9f07e6,117.7 x 50 x 14.2 mm (4.63 x 1.97 x 0.56 in),88 g (3.10 oz),,"Dual SIM (Mini-SIM, dual stand-by)",
2a916ba6d224fbfaa044bfb5805e4ab5bbf17974e63a93cc6f2b93ca842501be,132.7 x 57 x 15 mm (5.22 x 2.24 x 0.59 in),108 g (3.81 oz),,"Dual SIM (Mini-SIM, dual stand-by)",IP65 dust tight and water resistant (low pressure water jets)
cd426a222853b11fd9ef588e8b3e127886de0668848414d73337d5df21635253,130.9 x 50.6 x 14 mm (5.15 x 1.99 x 0.55 in),98.2 g (3.46 oz),,"Dual SIM (Mini-SIM, dual stand-by)",Flashlight
f0ce1aaee4f5604ba2adf32bde0a3ef62364684777fd02e68d596a39e5d17856,130.5 x 52.9 x 14.8 mm (5.14 x 2.08 x 0.58 in),83.1 g (2.93 oz),,"Dual SIM (Mini-SIM, dual stand-by)",IP54 dust protected and water resistant (water splashes) - EU only
74582963e4ead43ebefb992a2164a2aec5321596ad7f5d970d85909e0a7534bd,131 x 50.6 x 15.2 mm (5.16 x 1.99 x 0.60 in),106.3 g (3.63 oz),,"Dual SIM (Mini-SIM, dual stand-by)",Flashlight | Splash & dust resistant
b5fbead6b8dcaeb63854ec50d90e5013ae02ccdcdda51c1cb70fd1d994bafc74,130.5 x 52.9 x 14.8 mm (5.14 x 2.08 x 0.58 in),83.1 g (2.93 oz),,"Dual SIM (Mini-SIM, dual stand-by)",IP54 dust protected and water resistant (water splashes) - EU only
1a409f0fccd421be7c4c860d05cc0dccebe5b7441e6d8571f4b3c6518d0494c0,126.1 x 50.5 x 14 mm (4.96 x 1.99 x 0.55 in),92.3 g (3.28 oz),,Nano-SIM + Nano-SIM,
477b2d56e3fc58dcb3000a0d08d1a97b8c6f61c9371328d9aa3e06b099c26fa9,126.1 x 50.5 x 13 mm (4.96 x 1.99 x 0.51 in),92.7 g (3.28 oz),,Nano-SIM + Nano-SIM,
e378f8d1185629fd3cc760f5f29d8a739dd3d8aebab76b5a436baa58dbb6a77c,127.3 x 54.2 x 11.6 mm (5.01 x 2.13 x 0.46 in),-,,Nano-SIM + Nano-SIM,Flashlight
414e572f80e95b15dc215756ba6a3f2bb0dbe71c90ecbe05757848f979a82dcf,128.8 x 55 x 12.8 mm (5.07 x 2.17 x 0.50 in),104 g (3.67 oz),,Nano-SIM + Nano-SIM,Flashlight
17aa50920cb88a59855b80731ba23957b80d4cc104e7c47df09646159d65a671,127.3 x 54.2 x 11.6 mm (5.01 x 2.13 x 0.46 in),-,,Nano-SIM + Nano-SIM,Flashlight
14c368474ea29903cd3b89790f4ecd3a8711a3395b0618795a153fac85d1c4a4,121.5 x 52 x 11.6 mm (4.78 x 2.05 x 0.46 in),-,,Nano-SIM + Nano-SIM,
083d81c7ad3ca1a9762bcfbf0779a90b2ca42a7282db4e528cd0596c31e5263f,124.6 x 53.4 x 10.9 mm (4.91 x 2.10 x 0.43 in),-,Aluminum back cover,Nano-SIM + Nano-SIM,Flashlight
c886e60da64a497faa5c6f874ca673af47d2c4206e28b5df9cc89286bd72de95,127.3 x 54.2 x 11.6 mm (5.01 x 2.13 x 0.46 in),-,,Nano-SIM + Nano-SIM,
7db5502b805a17d224b2e8f4a0de13c6cfdd8a2064927462ef940ab6996ed2e6,128.9 x 55.8 x 12.9 mm (5.07 x 2.20 x 0.51 in),106 g (3.74 oz),,Nano-SIM + Nano-SIM,
f49f570a353ad519eb7b4d2d215fb85f8907831b81983d4d599f77adbc46a353,-,123 g (4.34 oz),,· Nano-SIM | · Nano-SIM + Nano-SIM,
d60d842ac45ec4200396a3a74897827ed8356674be220aff9794761b79daa040,202.1 x 58 x 11.5 mm (7.96 x 2.28 x 0.45 in),-,,Nano-SIM,
c18e6431e2c86142fd6154d4d4aa98460e5db25e514742a5ed37ce07d553861f,202.1 x 58 x 11.5 mm (7.96 x 2.28 x 0.45 in),131.2 g (4.62 oz),,Nano-SIM,
df2d424ec17f4792232f26b45e7154183dc07da24b8a38ab4ec80b30cb46ecd2,122 x 52 x 13.1 mm (4.80 x 2.05 x 0.52 in),-,"Plastic frame, plastic back",· Nano-SIM | · Nano-SIM + Nano-SIM,
074acd18ea5f3d0ffaa5ca41c311baf1275221cf6033550809e2cc74bc89d42f,132 x 57 x 13.1 mm (5.20 x 2.24 x 0.52 in),-,,· Nano-SIM | · Nano-SIM + Nano-SIM,Dedicated hardware music keys
c225878c308f380bb5d7505add34d5b60d93d7a2534020f47b61a5eb904af78a,138.9 x 57.7 x 16.2 mm (5.47 x 2.27 x 0.64 in),129.1 g (4.55 oz),,· Nano-SIM | · Nano-SIM + Nano-SIM,Built-in wireless earbuds housed beneath a slider; charging from the phone
0333124b6d005e1ee2ed06310d243866f3805ab05786d712379ccf2aaf7f4ad0,"135.5 x 56 x 14.1 mm, 44.8 cc (5.33 x 2.20 x 0.56 in)",-,,Nano-SIM + Nano-SIM,
9c75fc19967a4e42baa3e1351f4d23aad960eb28a3ef9c2432162cf6d29924c2,131.3 x 56.2 x 13.8 mm (5.17 x 2.21 x 0.54 in),107 g (3.77 oz),,· Nano-SIM | · Nano-SIM + Nano-SIM,
39244f66676e104d2d42c0aac399e85c2c506d6c1abe8f4cf7ed5df60abd4348,148.7 x 71.2 x 10 mm (5.85 x 2.80 x 0.39 in),191 g (6.74 oz),"Plastic back, plastic frame",Nano-SIM + Nano-SIM,Splash and dust resistant
5ae57c38bbab459303f49aa01f8c54b61b7f4ddf3b1b47ff642e022c29ca89fb,149.6 x 71.9 x 9.7 mm (5.89 x 2.83 x 0.38 in),-,,Nano-SIM,Splash protection
771a45b9bdc3f2de731305249d966aab549b0c37ea1e5eeb0fbdf7374eec22f8,160.8 x 74 x 8.5 mm (6.33 x 2.91 x 0.33 in),172 g (6.07 oz),"Glass front, plastic back, plastic frame",Nano-SIM,Splash and dust resistant
1133db2497caa79105b900d88ed0e46a52a58b56e7f8a5ab8bb39cd38ba639be,160.6 x 74.3 x 8.8 mm (6.32 x 2.93 x 0.35 in),177.4 g (6.24 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,Splash resistant
39fe5f7c5c64a9d5204a8af6a0892c3f2415ac20ca74b93a3afe00135e762357,-,-,"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,
21c9a043f7a318c8296ddfe2544b6febde1e97b35df4b6e388e8f3c62f2e2173,160.6 x 74.3 x 8.8 mm (6.32 x 2.93 x 0.35 in),177.4 g (6.24 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,Splash resistant
02727be98595b9c42dad69006785b9d0e2a2e2b693469c26f91a582bed4e57ba,156.5 x 73.1 x 8.8 mm (6.16 x 2.88 x 0.35 in),172.5 g (6.10 oz),,Nano-SIM,Splash protection
5387dd573fe2da029fb445c52a409e1c3aba2cd89d925234283c493d66092be5,169.9 x 77.9 x 8.8 mm (6.69 x 3.07 x 0.35 in),195 g (6.88 oz),"Glass front, aluminum frame, plastic back",· Nano-SIM | · Nano-SIM + Nano-SIM,
191dfbc3e80b695469d65d09f4535f0380c802be7cafa805a007435e59847333,159.5 x 73.9 x 8.6 mm (6.28 x 2.91 x 0.34 in),167.8 g (5.93 oz),,Nano-SIM,Dust and splash resistant
551b56e9c0ef47f5a9837f3714decb26bc4cc0734ff16e1a23c7239c69cbcec3,164.8 x 75.9 x 8.6 mm (6.49 x 2.99 x 0.34 in),178 g or 191 g (6.28 oz),"Glass front, aluminum frame, plastic back",· Nano-SIM | · Nano-SIM + Nano-SIM,Splash protection
e140f92e3a75494a5a2155f8ad19487fe03d4005013029673c14e570a46a62aa,164.6 x 75.9 x 8.6 mm (6.48 x 2.99 x 0.34 in),190 g (6.70 oz),"Glass front, plastic back, plastic frame",· Nano-SIM | · Nano-SIM + Nano-SIM,Splash and dust resistant
4e16899a112f575c5d67b59b4776823a71f639c707e70fb8be2e783ea76c925e,154 x 75.9 x 10 mm (6.06 x 2.99 x 0.39 in),180 g (6.35 oz),"Glass front, plastic back, plastic frame",· Nano-SIM | · Nano-SIM + Nano-SIM,
1a7c9f92e0fdd251e38894d49a4eef8c778f81f895d43a437d2de814eadc29ba,166.7 x 76.6 x 8.6 mm (6.56 x 3.02 x 0.34 in),190 g (6.70 oz),"Glass front, plastic back, plastic frame",Nano-SIM,Splash and dust resistant
af1137450ee69f5fb282a4f6304651786d21df7b89975efba708d86a792430a4,169.2 x 78 x 8.6 mm (6.66 x 3.07 x 0.34 in),200 g (7.05 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,Splash resistant
de1e7816d4eade05fbd878e85fc4de0ebf66536295082766b364a294abb5e3e9,164.6 x 75.9 x 8.6 mm (6.48 x 2.99 x 0.34 in),199.4 g (7.02 oz),"Glass front, glass back, plastic frame",· Nano-SIM | · Nano-SIM + Nano-SIM,Splash and dust resistant
35f77f147dbd57d4deed9cd0128194e3208461abecef5d40c1dab969fc851f64,166.6 x 76.7 x 8.9 mm (6.56 x 3.02 x 0.35 in),195.1 g (6.88 oz),"Glass front, plastic frame, plastic back",Nano-SIM,
3e2ee0619ac946f41996e030a1a107336fa104390cc92c2a4f2f6a5363bf6649,164.6 x 75.9 x 8.5 mm (6.48 x 2.99 x 0.33 in),189 g (6.67 oz),"Glass front, plastic frame, plastic back",· Nano-SIM | · Nano-SIM + Nano-SIM,
ef4db945229b1d51889288131d7f66ef74b1e861a41b40ea6a2b7259d68ec122,164.8 x 75.9 x 8.6 mm (6.49 x 2.99 x 0.34 in),192 g (6.77 oz),"Glass front, plastic frame, plastic back",· Nano-SIM | · Nano-SIM + Nano-SIM,Splash protection
aaf5a174fc1dafdfdc28167bc8c14f7469cae5d279ba58ec015ebeb517dc8c24,164.6 x 75.9 x 8.5 mm (6.48 x 2.99 x 0.33 in),190 g (6.70 oz),"Glass front, plastic frame, plastic back",· Nano-SIM | · Nano-SIM + Nano-SIM,
5c08512033cb1c305aa8cd49a09b1404b4ca656a17548cb315803ee87397828a,165 x 76.2 x 8.5 mm (6.50 x 3.00 x 0.33 in),196.2 g (6.91 oz),"Glass front (Gorilla Glass 3), plastic frame, plastic back",Nano-SIM + Nano-SIM,Dust and splash resistant | QuickFix user-reparable design
5a79fbe9b3b69ccac5e86b69d20e1bcaf53ab861fbd02dbd347e2b61381d930b,169.4 x 78.4 x 9.3 mm (6.67 x 3.09 x 0.37 in),210.1 g (7.41 oz),,Nano-SIM,
5b6351568cb2d7420f79e745bd7c52f43493747d3b908b88ae54fe9e4146e6ef,165.1 x 75.7 x 8.6 mm (6.5 x 2.98 x 0.34 in),195.1 g (6.88 oz),,Nano-SIM,Dust and splash resistant | QuickFix user-reparable design
adf47cb638c2e72bfb1577a2af1a2a2f286f574ba6629c529e3ecd0b1d08614f,166.4 x 76.7 x 8.8 mm (6.55 x 3.02 x 0.35 in),198 g (6.98 oz),"Glass front (Gorilla Glass 3), aluminum frame",Nano-SIM,
0a8e2eed287552e453b18029eb4e3892afb675f09f6388572bcaafd1bfbec7b9,165 x 75.8 x 8.6 mm (6.50 x 2.98 x 0.34 in),193.8 g (6.84 oz),"Glass front, plastic back, plastic frame",· Nano-SIM | · Nano-SIM + Nano-SIM,Dust and splash resistant | QuickFix user-reparable design
379c86312a94015ddf1b443c35488922b573fea0fd72747a8e3fd3febd2d3e66,166 x 75.9 x 8.6 mm (6.54 x 2.99 x 0.34 in),190 g (6.70 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",· Nano-SIM + eSIM | · Nano-SIM + Nano-SIM,Splash resistant
741f2c4dbc67d804a52074c56d66d8e46d59c526fb892ca1e114eef6d49d7d6f,208 x 123.2 x 9 mm (8.19 x 4.85 x 0.35 in),375 g (13.23 oz),"Glass front, plastic back, plastic frame",Nano-SIM,Splash resistant
e20223af7a9456010571420458f02cdafde148ae5e15b10d7313d532d9702e80,247.6 x 157.5 x 7.8 mm (9.75 x 6.20 x 0.31 in),"465 g (Wi-Fi), 470 g (LTE) (1.03 lb)","Glass front, aluminum back",Nano-SIM (cellular model only),Splash resistant
17c495b43d5ce4abcceb8a4b89e559b28f8143702ef2f097e6948f4f62e93fa6,247.5 x 157.3 x 7.5 mm (9.74 x 6.19 x 0.30 in),466 g (1.03 lb),"Glass front, aluminum back",Nano-SIM (cellular model only),Splash resistant | Stylus support
335b890270c2b689f33502cb15cb39f69d546b4e5f6f41a99d0eb3815ba012db,171.4 x 79.7 x 9.1 mm (6.75 x 3.14 x 0.36 in),217 g (7.65 oz),,Nano-SIM,
9625afae43e353d015a88b9a3df07b94e0f46584385c945039674f5d92861aa4,158.9 x 73.9 x 8 mm (6.26 x 2.91 x 0.31 in),185 g (6.53 oz),"Glass front (Gorilla Glass Victus), aluminum frame, plastic back",· Nano-SIM + eSIM | · Nano-SIM + Nano-SIM,IP67 dust/water resistant (up to 1m for 30 min)
222fa9903f2cf938f8b1f467243d5d729a8d3645f99f5cf1396a2c03269a6ae8,168 x 78.6 x 10.5 mm (6.61 x 3.09 x 0.41 in),231 g (8.15 oz),"Glass front (Gorilla Glass Victus), plastic back, plastic frame",Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 60 min) | Drop resistant up to 1.8m | MIL-STD-810H compliant
