record_key,data_snapshot,name,url,sound_loudspeaker,sound_cable_jack,colors_json,weight,price_json,source_file,file_sha256,completeness_score
2ff9bcefb0e9101e8c87f9d916bca904c38a67742bafe1d78560220576dedfa0,2026-08-17T05:38:20+00:00,Nokia 105+ (2022),https://www.gsmarena.com/nokia_105+_(2022)-11740.php,Yes,true,"[""Red"",""Charcoal""]",Weight Unknown,[20.0],gsmarena.com/gsmarena__nokia_105+_(2022)-11740.php.json,ab168a6be4ecb399592402192e7cdd17577579eacc59c7a3cd9ba3e395b1f6ad,0.66667
f6f0d9a3732eb0a711d64fbf9d3deee3e936608687286e95a5ff4706cefaa446,2026-08-17T05:38:26+00:00,Nokia 105 (2022),https://www.gsmarena.com/nokia_105_(2022)-11739.php,Yes,true,"[""Blue"",""Charcoal""]",1.50 W/kg (head) 1.38 W/kg (body),[20.0],gsmarena.com/gsmarena__nokia_105_(2022)-11739.php.json,be955841942c8def90a6d268fe0702a678cdc2d368f4e83ef4db413af150950f,0.70833
1a26dce1d3fb5f50d79971d005288fa2f7625d3bba4841cdccac033b69497bea,2026-08-17T05:35:59+00:00,Nokia 105 (2023),https://www.gsmarena.com/nokia_105_(2023)-12281.php,Yes,true,"[""Red Terracotta"",""Cyan"",""Charcoal""]",Weight Unknown,[50.0],gsmarena.com/gsmarena__nokia_105_(2023)-12281.php.json,fbd21043ccfc99c6d56c2e75cf7d4875cb166a3904089aed150bb61b47b6bc03,0.62500
59e6dba6d05069419ad28a713472da49434334f9c8050892d5892740ec232f98,2026-08-13T18:00:39+00:00,Nokia 105 (2024),https://www.gsmarena.com/nokia_105_(2024)-13188.php,Yes,true,"[""Black"",""Blue"",""Purple""]",Weight Unknown,[],gsmarena.com/gsmarena__nokia_105_(2024)-13188.php.json,6544977bb0b137d411d63fc6f064630c4b59bc3ec4f9f35f30a690bd2fa49b7d,0.62500
e425144be5d164e40343f05c6c2344c725944654b56a5bf308a888e9673c4020,2026-08-17T05:35:56+00:00,Nokia 105 4G (2023),https://www.gsmarena.com/nokia_105_4g_(2023)-12282.php,Yes,true,"[""Charcoal"",""Ocean Blue""]",Weight Unknown,[40.0],gsmarena.com/gsmarena__nokia_105_4g_(2023)-12282.php.json,d38ac4756bcf1ec7feeeea4dbac1fd2a82bd89ce600922de3d7db1f9402a3ff1,0.62500
d5704e2e652f548bb4106b9f279e4105f15dac0f7e4ecc64df8fcbe83128f172,2026-08-13T18:00:20+00:00,Nokia 105 4G 2nd Edition,https://www.gsmarena.com/nokia_105_4g_2nd_edition-13583.php,Yes,true,"[""Charcoal""]",Weight Unknown,[50.0],gsmarena.com/gsmarena__nokia_105_4g_2nd_edition-13583.php.json,60a70368c8c868973b0c6c08c43fb3985cc5604e596b9f496cdb980fc3ce0d24,0.62500
601d583ba37308429cf8bbd586fb307e002347926d6f95bbc03f0a33c3eb6e1c,2026-08-17T05:35:50+00:00,Nokia 106 (2023),https://www.gsmarena.com/nokia_106_(2023)-12283.php,Yes,true,"[""Red Terracotta"",""Emerald Green"",""Charcoal""]",Weight Unknown,[80.0],gsmarena.com/gsmarena__nokia_106_(2023)-12283.php.json,5d9b03c68b7ea7954184fa1085142c53c1215e6ac4db72925a7250bdcff21880,0.62500
99699a2b7d31f74cc1f0c7e4a511c121c6ea7ae59220437d4a0c3b315a711ec5,2026-08-17T05:35:42+00:00,Nokia 106 4G (2023),https://www.gsmarena.com/nokia_106_4g_(2023)-12286.php,Yes,true,"[""Charcoal"",""Ocean Blue""]",Weight Unknown,[30.0],gsmarena.com/gsmarena__nokia_106_4g_(2023)-12286.php.json,3a663870a48beb8f632c9d45e202463857a3a13a4e748c2c74f9c48ec08c5de7,0.62500
e2cd098900041be0afd5bb8c6b587e967ab6b2323e23efc89a89c13959036c4e,2026-08-13T18:00:27+00:00,Nokia 108 4G (2024),https://www.gsmarena.com/nokia_108_4g_(2024)-13482.php,Yes,true,"[""Blue"",""Cyan"",""Pink""]",Weight Unknown,[],gsmarena.com/gsmarena__nokia_108_4g_(2024)-13482.php.json,56f9c77bf0a44973c9efcd9bbccf9eb2a1c261ef0d33160aab53b9b2d1f48e84,0.54167
079bebf62853188137f14b82cdd39edd3ed91e1994f8588f2a201908b8e3b2a8,2026-08-17T05:37:22+00:00,Nokia 110 (2022),https://www.gsmarena.com/nokia_110_(2022)-11741.php,Yes,true,"[""Rose Gold"",""Cyan"",""Charcoal""]",Weight Unknown,[20.0],gsmarena.com/gsmarena__nokia_110_(2022)-11741.php.json,59b76f35383382c35e3cc64e6e890468d88e3808a3e299d64550361dbbd84a07,0.66667
