record_key,type,size,resolution,protection
2ff9bcefb0e9101e8c87f9d916bca904c38a67742bafe1d78560220576dedfa0,"TFT LCD, 65K colors","1.77 inches, 9.7 cm 2 (~16.9% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~113 ppi density)",
f6f0d9a3732eb0a711d64fbf9d3deee3e936608687286e95a5ff4706cefaa446,"TFT LCD, 65K colors","1.77 inches, 9.7 cm 2 (~16.9% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~113 ppi density)",
1a26dce1d3fb5f50d79971d005288fa2f7625d3bba4841cdccac033b69497bea,"TFT LCD, 65K colors","1.8 inches, 10.0 cm 2 (~17.6% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",
59e6dba6d05069419ad28a713472da49434334f9c8050892d5892740ec232f98,"TFT LCD, 65K colors","2.0 inches, 12.4 cm 2 (~21.7% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~100 ppi density)",
e425144be5d164e40343f05c6c2344c725944654b56a5bf308a888e9673c4020,IPS LCD,"1.8 inches, 10.0 cm 2 (~16.5% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",
d5704e2e652f548bb4106b9f279e4105f15dac0f7e4ecc64df8fcbe83128f172,IPS LCD,"1.8 inches, 10.0 cm 2 (~16.5% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",
601d583ba37308429cf8bbd586fb307e002347926d6f95bbc03f0a33c3eb6e1c,"TFT LCD, 65K colors","1.8 inches, 10.0 cm 2 (~17.6% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",
99699a2b7d31f74cc1f0c7e4a511c121c6ea7ae59220437d4a0c3b315a711ec5,IPS LCD,"1.8 inches, 10.0 cm 2 (~16.5% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",
e2cd098900041be0afd5bb8c6b587e967ab6b2323e23efc89a89c13959036c4e,"TFT LCD, 65K colors","2.0 inches, 12.4 cm 2 (~19.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",
079bebf62853188137f14b82cdd39edd3ed91e1994f8588f2a201908b8e3b2a8,"TFT LCD, 65K colors","1.77 inches, 9.7 cm 2 (~16.9% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~113 ppi density)",
27107a35abd98e4924bd16e620d210e2cc1dd616c8f5078b239587008e2642c8,"TFT LCD, 65K colors","1.8 inches, 10.0 cm 2 (~17.6% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",
1a1fc9af93d0effd2f4a48623e5cb049404cb7527963f1348b059dc8527baa2a,"TFT LCD, 65K colors","1.8 inches, 10.0 cm 2 (~16.5% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",
87e686bc0c1ccf2583f6d0eed2877c1714cdc1f5bad53219ff65ce60aaf8c3b3,"TFT LCD, 65K colors","2.0 inches, 12.4 cm 2","240 x 320 pixels, 4:3 ratio (~200 ppi density)",
82123ce0b6d08cc728fcc10094cf54b39979efa902316c06be96093b40a627e4,IPS LCD,"1.8 inches, 10.0 cm 2 (~16.5% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",
c1e193f391b37122ffb17432aaa8e068e5b625e25f3c37924fc74b902b9f07e6,TFT,"2.0 inches, 12.4 cm 2 (~21.0% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~100 ppi density)",
2a916ba6d224fbfaa044bfb5805e4ab5bbf17974e63a93cc6f2b93ca842501be,TFT,"2.4 inches, 17.8 cm 2 (~23.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
cd426a222853b11fd9ef588e8b3e127886de0668848414d73337d5df21635253,"TFT LCD, 65K colors","2.4 inches, 17.8 cm 2 (~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
f0ce1aaee4f5604ba2adf32bde0a3ef62364684777fd02e68d596a39e5d17856,TN TFT,"2.4 inches, 17.8 cm 2 (~25.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
74582963e4ead43ebefb992a2164a2aec5321596ad7f5d970d85909e0a7534bd,"TFT LCD, 65K colors","2.4 inches, 17.8 cm 2 (~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
b5fbead6b8dcaeb63854ec50d90e5013ae02ccdcdda51c1cb70fd1d994bafc74,TN TFT,"2.4 inches, 17.8 cm 2 (~25.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
1a409f0fccd421be7c4c860d05cc0dccebe5b7441e6d8571f4b3c6518d0494c0,TFT LCD,"2.4 inches, 17.8 cm 2 (~28.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
477b2d56e3fc58dcb3000a0d08d1a97b8c6f61c9371328d9aa3e06b099c26fa9,TFT LCD,"2.4 inches, 17.8 cm 2 (~28.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
e378f8d1185629fd3cc760f5f29d8a739dd3d8aebab76b5a436baa58dbb6a77c,TFT LCD,"2.8 inches, 24.3 cm 2 (~35.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
414e572f80e95b15dc215756ba6a3f2bb0dbe71c90ecbe05757848f979a82dcf,TFT LCD,"2.8 inches, 24.3 cm 2 (~34.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
17aa50920cb88a59855b80731ba23957b80d4cc104e7c47df09646159d65a671,TFT LCD,"2.8 inches, 24.3 cm 2 (~35.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
14c368474ea29903cd3b89790f4ecd3a8711a3395b0618795a153fac85d1c4a4,TFT LCD,"2.4 inches, 17.8 cm 2 (~28.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
083d81c7ad3ca1a9762bcfbf0779a90b2ca42a7282db4e528cd0596c31e5263f,TFT LCD,"2.8 inches, 24.3 cm 2 (~36.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
c886e60da64a497faa5c6f874ca673af47d2c4206e28b5df9cc89286bd72de95,TFT LCD,"2.8 inches, 24.3 cm 2 (~35.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
7db5502b805a17d224b2e8f4a0de13c6cfdd8a2064927462ef940ab6996ed2e6,TFT LCD,"2.8 inches, 24.3 cm 2 (~33.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
f49f570a353ad519eb7b4d2d215fb85f8907831b81983d4d599f77adbc46a353,TFT LCD,"2.8 inches, 24.3 cm 2","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
d60d842ac45ec4200396a3a74897827ed8356674be220aff9794761b79daa040,TFT LCD,"2.8 inches, 24.3 cm 2 (~20.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
c18e6431e2c86142fd6154d4d4aa98460e5db25e514742a5ed37ce07d553861f,TFT LCD,"2.7 inches, 22.6 cm 2 (~19.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",
