record_key,wlan,bluetooth,positioning,nfc,infrared_port,radio,usb,back_finger_print,side_finger_print,in_display_finger_print,sensors
2ff9bcefb0e9101e8c87f9d916bca904c38a67742bafe1d78560220576dedfa0,No,No,No,false,false,true,microUSB 1.1,false,false,false,
f6f0d9a3732eb0a711d64fbf9d3deee3e936608687286e95a5ff4706cefaa446,No,No,No,false,false,true,microUSB 1.1,false,false,false,
1a26dce1d3fb5f50d79971d005288fa2f7625d3bba4841cdccac033b69497bea,No,No,No,false,false,true,microUSB 1.1,false,false,false,
59e6dba6d05069419ad28a713472da49434334f9c8050892d5892740ec232f98,No,No,No,false,false,true,microUSB,false,false,false,
e425144be5d164e40343f05c6c2344c725944654b56a5bf308a888e9673c4020,No,"5.0, A2DP",No,false,false,true,microUSB 2.0,false,false,false,
d5704e2e652f548bb4106b9f279e4105f15dac0f7e4ecc64df8fcbe83128f172,No,"5.0, A2DP",No,false,false,true,USB Type-C,false,false,false,
601d583ba37308429cf8bbd586fb307e002347926d6f95bbc03f0a33c3eb6e1c,No,No,No,false,false,true,microUSB 1.1,false,false,false,
99699a2b7d31f74cc1f0c7e4a511c121c6ea7ae59220437d4a0c3b315a711ec5,No,"5.0, A2DP",No,false,false,true,microUSB 2.0,false,false,false,
e2cd098900041be0afd5bb8c6b587e967ab6b2323e23efc89a89c13959036c4e,No,Yes,No,false,false,true,USB Type-C,false,false,false,
079bebf62853188137f14b82cdd39edd3ed91e1994f8588f2a201908b8e3b2a8,No,No,No,false,false,true,microUSB 2.0,false,false,false,
27107a35abd98e4924bd16e620d210e2cc1dd616c8f5078b239587008e2642c8,No,No,No,false,false,true,microUSB 1.1,false,false,false,
1a1fc9af93d0effd2f4a48623e5cb049404cb7527963f1348b059dc8527baa2a,No,"5.0, A2DP",No,false,false,true,microUSB 2.0,false,false,false,
87e686bc0c1ccf2583f6d0eed2877c1714cdc1f5bad53219ff65ce60aaf8c3b3,No,Yes,No,false,false,true,USB Type-C,false,false,false,
82123ce0b6d08cc728fcc10094cf54b39979efa902316c06be96093b40a627e4,No,"5.0, A2DP",No,false,false,true,USB Type-C,false,false,false,
c1e193f391b37122ffb17432aaa8e068e5b625e25f3c37924fc74b902b9f07e6,No,No,No,false,false,true,microUSB,false,false,false,
2a916ba6d224fbfaa044bfb5805e4ab5bbf17974e63a93cc6f2b93ca842501be,No,Unspecified,No,false,false,true,USB Type-C,false,false,false,
cd426a222853b11fd9ef588e8b3e127886de0668848414d73337d5df21635253,No,No,No,false,false,true,microUSB 1.1,false,false,false,No
f0ce1aaee4f5604ba2adf32bde0a3ef62364684777fd02e68d596a39e5d17856,No,"5.0, A2DP",No,false,false,true,USB Type-C 1.1,false,false,false,No
74582963e4ead43ebefb992a2164a2aec5321596ad7f5d970d85909e0a7534bd,No,No,No,false,false,true,microUSB 1.1,false,false,false,No
b5fbead6b8dcaeb63854ec50d90e5013ae02ccdcdda51c1cb70fd1d994bafc74,No,"5.0, A2DP",No,false,false,true,USB Type-C 1.1,false,false,false,No
1a409f0fccd421be7c4c860d05cc0dccebe5b7441e6d8571f4b3c6518d0494c0,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
477b2d56e3fc58dcb3000a0d08d1a97b8c6f61c9371328d9aa3e06b099c26fa9,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
e378f8d1185629fd3cc760f5f29d8a739dd3d8aebab76b5a436baa58dbb6a77c,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
414e572f80e95b15dc215756ba6a3f2bb0dbe71c90ecbe05757848f979a82dcf,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
17aa50920cb88a59855b80731ba23957b80d4cc104e7c47df09646159d65a671,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
14c368474ea29903cd3b89790f4ecd3a8711a3395b0618795a153fac85d1c4a4,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
083d81c7ad3ca1a9762bcfbf0779a90b2ca42a7282db4e528cd0596c31e5263f,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
c886e60da64a497faa5c6f874ca673af47d2c4206e28b5df9cc89286bd72de95,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
7db5502b805a17d224b2e8f4a0de13c6cfdd8a2064927462ef940ab6996ed2e6,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,No
f49f570a353ad519eb7b4d2d215fb85f8907831b81983d4d599f77adbc46a353,No,"4.2, A2DP",No,false,false,true,microUSB 2.0,false,false,false,
d60d842ac45ec4200396a3a74897827ed8356674be220aff9794761b79daa040,Wi-Fi 802.11 b/g/n (operator dependent),"4.2, A2DP",GPS,false,false,false,USB Type-C 2.0,false,false,false,
c18e6431e2c86142fd6154d4d4aa98460e5db25e514742a5ed37ce07d553861f,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,false,false,true,USB Type-C 2.0,false,false,false,
df2d424ec17f4792232f26b45e7154183dc07da24b8a38ab4ec80b30cb46ecd2,No,"5.0, A2DP",No,false,false,true,USB Type-C,false,false,false,
074acd18ea5f3d0ffaa5ca41c311baf1275221cf6033550809e2cc74bc89d42f,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,
c225878c308f380bb5d7505add34d5b60d93d7a2534020f47b61a5eb904af78a,No,"5.0, A2DP, LE",No,false,false,true,microUSB 2.0,false,false,false,
0333124b6d005e1ee2ed06310d243866f3805ab05786d712379ccf2aaf7f4ad0,No,"5.0, A2DP, LE",No,false,false,true,USB Type-C,false,false,false,
9c75fc19967a4e42baa3e1351f4d23aad960eb28a3ef9c2432162cf6d29924c2,No,"5.0, A2DP, LE",No,false,false,true,microUSB 2.0,false,false,false,
39244f66676e104d2d42c0aac399e85c2c506d6c1abe8f4cf7ed5df60abd4348,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE",GPS,false,false,true,microUSB 2.0,false,false,false,Accelerometer
5ae57c38bbab459303f49aa01f8c54b61b7f4ddf3b1b47ff642e022c29ca89fb,Wi-Fi 802.11 b/g/n/ac,"5.0, A2DP, LE",GPS,false,false,false,USB Type-C 2.0,false,false,false,"Accelerometer, proximity, barometer"
771a45b9bdc3f2de731305249d966aab549b0c37ea1e5eeb0fbdf7374eec22f8,"Wi-Fi 802.11 b/g/n/ac, dual-band, hotspot","5.0, A2DP",GPS,false,false,true,USB Type-C 2.0,false,false,false,"Accelerometer, proximity, barometer"
1133db2497caa79105b900d88ed0e46a52a58b56e7f8a5ab8bb39cd38ba639be,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,false,false,true,microUSB 2.0,false,false,false,"Accelerometer, proximity"
39fe5f7c5c64a9d5204a8af6a0892c3f2415ac20ca74b93a3afe00135e762357,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,false,false,true,microUSB 2.0,false,false,false,"Accelerometer, proximity"
