record_key,card_slot,technology,types_json
2ff9bcefb0e9101e8c87f9d916bca904c38a67742bafe1d78560220576dedfa0,microSDHC,,"[""4MB"",""4MB RAM""]"
f6f0d9a3732eb0a711d64fbf9d3deee3e936608687286e95a5ff4706cefaa446,No,,"[""4MB"",""4MB RAM""]"
1a26dce1d3fb5f50d79971d005288fa2f7625d3bba4841cdccac033b69497bea,No,,"[""Unspecified""]"
59e6dba6d05069419ad28a713472da49434334f9c8050892d5892740ec232f98,microSDHC,,"[""4 MB 4 MB RAM""]"
e425144be5d164e40343f05c6c2344c725944654b56a5bf308a888e9673c4020,microSDHC,,"[""Unspecified""]"
d5704e2e652f548bb4106b9f279e4105f15dac0f7e4ecc64df8fcbe83128f172,microSDHC,,"[""48MB 128MB RAM""]"
601d583ba37308429cf8bbd586fb307e002347926d6f95bbc03f0a33c3eb6e1c,microSDHC,,"[""Unspecified""]"
99699a2b7d31f74cc1f0c7e4a511c121c6ea7ae59220437d4a0c3b315a711ec5,microSDHC,,"[""Unspecified storage""]"
e2cd098900041be0afd5bb8c6b587e967ab6b2323e23efc89a89c13959036c4e,microSDHC,,[]
079bebf62853188137f14b82cdd39edd3ed91e1994f8588f2a201908b8e3b2a8,microSDHC,,"[""32MB"",""4MB RAM""]"
27107a35abd98e4924bd16e620d210e2cc1dd616c8f5078b239587008e2642c8,microSDHC,,"[""Unspecified""]"
1a1fc9af93d0effd2f4a48623e5cb049404cb7527963f1348b059dc8527baa2a,microSDHC,,"[""Unspecified""]"
87e686bc0c1ccf2583f6d0eed2877c1714cdc1f5bad53219ff65ce60aaf8c3b3,microSDHC,,"[""64MB 128MB RAM""]"
82123ce0b6d08cc728fcc10094cf54b39979efa902316c06be96093b40a627e4,microSDHC,,"[""48MB 128MB RAM""]"
c1e193f391b37122ffb17432aaa8e068e5b625e25f3c37924fc74b902b9f07e6,microSDHC,,"[""4 MB 4 MB RAM""]"
2a916ba6d224fbfaa044bfb5805e4ab5bbf17974e63a93cc6f2b93ca842501be,microSDHC,,"[""4 MB 4 MB RAM""]"
cd426a222853b11fd9ef588e8b3e127886de0668848414d73337d5df21635253,microSDHC,,"[""4MB""]"
f0ce1aaee4f5604ba2adf32bde0a3ef62364684777fd02e68d596a39e5d17856,microSDHC,,"[""8MB 8MB RAM""]"
74582963e4ead43ebefb992a2164a2aec5321596ad7f5d970d85909e0a7534bd,microSDHC,,"[""4MB""]"
b5fbead6b8dcaeb63854ec50d90e5013ae02ccdcdda51c1cb70fd1d994bafc74,microSDHC,,"[""8MB 8MB RAM""]"
1a409f0fccd421be7c4c860d05cc0dccebe5b7441e6d8571f4b3c6518d0494c0,microSDHC,,[]
477b2d56e3fc58dcb3000a0d08d1a97b8c6f61c9371328d9aa3e06b099c26fa9,microSDHC,,"[""128MB 64MB RAM""]"
e378f8d1185629fd3cc760f5f29d8a739dd3d8aebab76b5a436baa58dbb6a77c,microSDHC,,"[""128MB 64MB RAM""]"
414e572f80e95b15dc215756ba6a3f2bb0dbe71c90ecbe05757848f979a82dcf,microSDHC,,"[""128MB 64MB RAM""]"
17aa50920cb88a59855b80731ba23957b80d4cc104e7c47df09646159d65a671,microSDHC,,"[""128MB 64MB RAM""]"
14c368474ea29903cd3b89790f4ecd3a8711a3395b0618795a153fac85d1c4a4,microSDHC,,"[""128MB 64MB RAM""]"
083d81c7ad3ca1a9762bcfbf0779a90b2ca42a7282db4e528cd0596c31e5263f,microSDHC,,"[""16MB 8MB RAM""]"
c886e60da64a497faa5c6f874ca673af47d2c4206e28b5df9cc89286bd72de95,microSDHC,,"[""128MB 64MB RAM""]"
7db5502b805a17d224b2e8f4a0de13c6cfdd8a2064927462ef940ab6996ed2e6,microSDHC,,"[""128MB 64MB RAM""]"
f49f570a353ad519eb7b4d2d215fb85f8907831b81983d4d599f77adbc46a353,microSDHC,,"[""128MB 48MB RAM""]"
d60d842ac45ec4200396a3a74897827ed8356674be220aff9794761b79daa040,No,,"[""4GB 512MB RAM""]"
c18e6431e2c86142fd6154d4d4aa98460e5db25e514742a5ed37ce07d553861f,microSDHC (dedicated slot),,"[""4GB 512MB RAM""]"
df2d424ec17f4792232f26b45e7154183dc07da24b8a38ab4ec80b30cb46ecd2,microSDHC,,"[""128MB 64MB RAM""]"
074acd18ea5f3d0ffaa5ca41c311baf1275221cf6033550809e2cc74bc89d42f,microSDHC,,"[""16MB 8MB RAM""]"
c225878c308f380bb5d7505add34d5b60d93d7a2534020f47b61a5eb904af78a,microSDHC,,"[""128MB 48MB RAM""]"
0333124b6d005e1ee2ed06310d243866f3805ab05786d712379ccf2aaf7f4ad0,microSDHC,,"[""16MB 8MB RAM""]"
9c75fc19967a4e42baa3e1351f4d23aad960eb28a3ef9c2432162cf6d29924c2,microSDHC,,"[""128MB 48MB RAM""]"
39244f66676e104d2d42c0aac399e85c2c506d6c1abe8f4cf7ed5df60abd4348,microSDXC,eMMC 5.1,"[""32GB 2GB RAM""]"
5ae57c38bbab459303f49aa01f8c54b61b7f4ddf3b1b47ff642e022c29ca89fb,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM""]"
771a45b9bdc3f2de731305249d966aab549b0c37ea1e5eeb0fbdf7374eec22f8,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM""]"
1133db2497caa79105b900d88ed0e46a52a58b56e7f8a5ab8bb39cd38ba639be,Unspecified,eMMC 5.1,"[""64GB 2GB RAM"",""64GB 3GB RAM""]"
39fe5f7c5c64a9d5204a8af6a0892c3f2415ac20ca74b93a3afe00135e762357,microSDXC,eMMC 5.1,"[""32GB 2GB RAM""]"
21c9a043f7a318c8296ddfe2544b6febde1e97b35df4b6e388e8f3c62f2e2173,Unspecified,eMMC 5.1,"[""64GB 2GB RAM"",""64GB 3GB RAM"",""64GB 4GB RAM""]"
02727be98595b9c42dad69006785b9d0e2a2e2b693469c26f91a582bed4e57ba,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM""]"
5387dd573fe2da029fb445c52a409e1c3aba2cd89d925234283c493d66092be5,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 2GB RAM"",""32GB 3GB RAM"",""64GB 3GB RAM""]"
191dfbc3e80b695469d65d09f4535f0380c802be7cafa805a007435e59847333,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM""]"
