record_key,capacity,wireless_charging,charging_json
89fb0be3058f25b1e5a69120a7cfba9add137e9817a94a06a35bb48433a44365,Non removable Li Ion 3400 mAh,false,[]
10f55854f51d5b84e0eb9ed8c639e0f4c3460fdb07ca959f9a14dd063f1443da,,false,[]
1ab5abc8c0748d4ea3403e07fdc56ba5f858590a17d0765c0621e34aa488e6f0,Non removable Li Po 2870 mAh,false,[]
96a47a3382828fdb979478b767999c5cbd557d2885034d43c2a8e23508186432,Removable Li Po 4020 mAh,false,[]
5e14850209d299b4bcb3f90ee3fc4a865a149ff35815a25c3084889ff69a11f1,Removable Li Po 4080 mAh battery,false,[]
b8ea81e2546c0beb37a6cc657b95d06d438654532b6e0e9fb9c6a1be22c1bf78,Non removable Li Ion 5000 mAh,false,[]
d11260c06a3969df8a383259bff9c146cc7d3d54ebb478dbf8d63fe571079bc5,Removable Li Ion 2000 mAh,false,[]
a4ccf5b003cda08392cea54e8dced13e3d5446161a13a1bab4334d6cf5671a17,Non-removable Li-Po 7606mAh Battery,false,[]
8318d1d203744d6231230d9449679dae29eb443c175330fbfceb216345eae554,Non-removable Li-Po 7606mAh Battery,false,[]
d604b741be8fd9402ee3bc7e415f85ffc9a8aca019149c7b5bbd0fd5dc2068e0,"Non-removable Li-Po Li-Po, (32.4 Wh) mAh battery",false,[]
d40d11115776bcca313f33d43d6119658dd74513b169c236d56de5651e908c7b,"Non-removable Li-Po Li-Po, (32.4 Wh) mAh battery",false,[]
0af7fbac62e566ab3fcf6aa8fa1bda477f8c57149d5d03938651c0038a0f8b09,Non-removable Li-Po 8557mAh battery (32.4 Wh) Talk timeUp to 10 h (multimedia),false,[]
8e7eb16b139502b933ca47bb1f3841c51f9676dd5544bb417404a566339d9487,Non-removable Li-Po 8557mAh battery (32.4 Wh) Talk timeUp to 10 h (multimedia),false,[]
eff47b8d8d4b9e8afc784ac4a87f31c79e368e095990ef228ce41ad5f9fd13a8,Non-removable Li-Po 500mAh Battery Charging 7.5W,false,[]
13430ce6ba465dc2ac9b7df2d622991575d16501f61cfb0338818aa4add6e3e2,Non-removable Li-Po 7606mAh battery,false,[]
de958bedfa3403bed3b3ee75eaa9418063c255bd018303ad099a5b9d989f78f0,Non-removable Li-Po 7606mAh battery,false,[]
5681580d9666208260654f2bb29b73e36e4635368857f315278d2cc7364d369f,Non-removable Li-Po 28.6 mAh Battery watt‐hour rechargeable lithium‑polymer battery Up to 10 hours of surfing the web on Wi‐Fi or watching video Charging via power adapter or USB‑C to computer system,false,[]
90ccfa4d7e41e9af9418cf452bb1908c92c14c3d92fdd0f058165ede9b44c116,6470 mAh,false,[]
bb6bf428a691043b46f0953521636ea797a84100d9fb5df81f84c573caaefc92,Non-removable Li-Po 5124mAh battery,false,[]
721da20b566d5f70b45f47d4779cce2507f04392365684308d4afdd82dab13a3,Non-removable Li-Po 5000mAh battery Charging Fast charging 18W,false,[]
081cf621564ae64ef89e327bce62184e08e2a0ae1e749cff58fd4df8a412fe15,Non-removable Li-Po 7538mAh Battery,false,[]
515716c71cfe7cf4036d4bf3644aadc21f583932680401628270244bb0fea200,Non-removable Li-Po 7538mAh Battery,false,[]
839bdd7e7768483e3ea1eed70d48e02c3328061adb49d25b4bd9ecb9ef3569db,Non-removable Li-Po 40.88Wh mAh battery Charging Fast charging 18W,false,[]
cb505fb59a6612269b895a50cbb91cfc1c1798b8b427ea99f5ae90d7826de72e,Non-removable Li-Po10758 mAh 40.88 Wh Battery,false,[]
02506b7ad35adb4f01643b5ef1de8b16aeb266c6d54e801f9470276c62ce9db5,3500 mAh,false,[]
6c2143c9950d535357c0c72260b653f4cbd0a9172afd546ff0c6d3584d20ae7e,Li-Ion 3046 (mAh),false,[]
5460f1a1c6f32c0a71488f36d329b80c32b67f908de994a216ea1f051dfd4787,3110 (mAh),false,[]
4b16ae3f4feb981b0cb90f765b56d335d6c78e083b6413438020b609851f4e54,3687 mAh,false,[]
caa7523c013768210f76416f31a81dea62e7beade540766fe6d3aa3953ec970f,3095 mAh,false,[]
522cb18175e58841d2d4bbf6d4c95f68e0d2bd339d9bf1dd8a6cc85cb0db9eb9,3095 mAh,false,[]
34fb0b1a3e944cab4b5c815de100bba836de57c6798e600469f5170e5291bd69,3095 mAh,false,[]
1ffcc14fd67b37b583a1ce98ed34fdc0d7ae8ed456e094a5aa3ecdc6dda0943f,3095 mAh,false,[]
4a41a080af929274f0d5e7f1e2c44eda91ddc4212dbeff32a3f5ddfc57793a33,3095 mAh,false,[]
6df5d2a54d79e0abf2fc769758e3993a267ea3c872e9d4e830abc8b8dafc7f4c,3095 mAh,false,[]
d3fe74475ee1b1e2a75ca1a87d1ccdc08a0adaa7a15038051065a5662f72f1a8,3095 mAh,false,[]
21e35f5df545bb335eaa5fef2caad3f13eab25d7c12bb0e3415a029302c53f7d,"Li-Ion 3279 mAh, non-removable (12.68 Wh)",false,[]
0fc20a18a1401d1be7a24b3a876867ac57d6301b68b4e3851b486d4f73ee5dbe,Li-Ion 4323 mAh,false,[]
e3f10c57ce1c149bb54bfb6afbc4ca34836538093c5627d828a9243e65434d9b,"Li-Ion 3200 mAh, non-removable (12.38 Wh)",false,[]
06a6649b5e26b8d4a33fdf32ee338243676e4679c160c9912907513c51b8597b,"Li-Ion 3349 mAh, non-removable",false,[]
