record_key,capacity,wireless_charging,charging_json
757632899e98ae1617a30e7a9e7504e97bedcd81a76135004d8a979e90c42b41,Non removable 5000 mAh,false,"[""- Fast charging 18W""]"
63e2696ff9149395d47500985dc7c16fa5c528761f38c4b632134181de4d7b3f,5000 mAh,false,"[""- Battery Charging 10W""]"
820fc5894c7818417b06e22d3e0b71ed9183d9381fee9fd2fa189bab02b06760,"(Non removable), 6000 mAh",false,"[""- Fast charging 18W""]"
72c56fab761c1584f3f437cfe59395e5b7ab84303d95d6743e8064a0304c8d4f,6000 mAh,false,"[""- Fast charging 18W""]"
5643c0b33d8a86e5f87aeeea179a7f380fef006d88578c7f802cb80a8209fa6a,Non removable 5000 mAh,false,"[""- Battery charging 10W""]"
e65e3683bdffc06f6d972d20423f3722cb919a1a5b021baafd301cd2d0c7f485,Li-Po 5200 mAh,false,"[""- Battery charging 10W wired""]"
ae06011c386c3dd16561f52a2c4f167a274ca071f79c4bc0d5933bcabe7c6c59,Li-Po 5260 mAh,false,"[""- 15W wired""]"
355e64cd3c6750ca54cea77df39231490f265e8364608a3f0aa0f661ee7c7d14,Li-Po 5300 mAh,false,"[""- Fast battery 35W wired""]"
d5531078c97048ae8a6175d0b1f1329b29066672d2440fd83fbe72c23e6f1d14,6150 mAh or 6500 mAh,true,"[""- Fast battery 45W wired"",""30W wireless"",""10W reverse wired"",""5W reverse wireless"",""Bypass Charging 2"",""Wireless bypass charging (accessory required)""]"
2079d823ba7e978c7c7c2484843526663d5de9502b9d000f76574be3de59eea0,5160 mAh,false,"[""- Fast charging 45W wired"",""50% in 24 min"",""10W reverse wired"",""Bypass charging""]"
0d084dcf7326e146ce7de2a7952c3adfad3c091f6e74401d9d9c1f305cdaaaf5,6500 mAh,false,"[""- Fast battery 45W wired"",""50% in 25 min"",""10W reverse wired"",""Bypass charging""]"
6374958bfeca11749b533b3d8a22167222d758edb00c16bfc7a3c1bb05168e88,6000 mAh,false,"[""- Fast battery 45W wired"",""50% in 25 min"",""10W reverse wired"",""Bypass charging""]"
6a67f6d4ee92c9d8fe239ff6f37d707e06560c27a9ffb64ca5d032285190ecd3,6500 mAh,true,"[""- Fast battery 90W wired"",""50% in 16 min"",""100% in 41 min"",""30W wireless"",""7.5W reverse wired"",""5W reverse wireless"",""Bypass Charging (gaming"",""navigating)""]"
9584064ec1aa3c7bee1a93326371e4de1c3ce2ad5ab0ba45072de10e607c1d12,6500 mAh,true,"[""- Fast battery 45W wired"",""50% in 26 min"",""100% in 54 min"",""30W wireless"",""Bypass Charging (gaming"",""navigating)""]"
a1415cad8991bc77e7b0902fcad7e02c68addaf7fe3b4c0952307ce7cef98a5f,6500 mAh,false,"[""- Fast battery 45W wired"",""50% in 27 min"",""10W reverse wired"",""Bypass charging""]"
e2e48a8821579bc7585fbeff55b4a3d239c1f73294230cf5ec4b9e7c231c39e7,6000 mAh,false,"[""- Battery charging 18W wired"",""Reverse wired""]"
0e10fde081d198a572bd8d29ca6a9e4a710b97d6f342ecf37e2f3e9a32be1000,5200 mAh,false,"[""- Battery Charging 15W wired"",""5W reverse wired""]"
86f2036f04a5210dc8feeda4cffa06ae4ed9863a113d395eb7fb150d8674942f,5200 mAh,false,"[""- Battery Charging 15W wired"",""5W reverse wired""]"
4c3d5bfb64ec9eb732633b3e2aa45c816bbeebfd75dc1dbdae9471be57fc9977,6000 mAh,false,"[""- Battery charging 18W wired""]"
da34572f2018d20a6e38151c67b3e1418e6859a51107a99cdf7bf35c4d5b8a06,5200 mAh,false,"[""- Battery charging 18W wired Reverse wired""]"
91c111a97e75c0b6d6f8c8d4f9d4de04381beda91742a625ad792a27dba32a85,"(Non removable), 7000 mAh",false,"[""- 18W wired"",""Reverse wired""]"
a5194f76da0e91245673ebf641d3b08109bae4889ccc94bd61f6c9b949a4f6a3,6000 mAh,false,"[""- 18W wired""]"
83c2c1555a3be7db081b424f247d6302a0c7b3ec10b980fe639184c503dfe064,5000 mAh,false,"[""- Fast battery 33W wired"",""5W reverse wired""]"
4f29f863b9a0f34c1324566df37f289cbec6ba80976b5ebbea174e7ce8a8b020,5000 mAh,false,"[""- Fast battery 33W wired"",""50% in 20 min"",""5W reverse wired""]"
c0091215d0dcebf2d6172595d189efe6ce83870d434dfea0ed7c17ac516d9405,5000 mAh,false,"[""- Fast battery 50W wired"",""50% in 19 min"",""100% in 56 min""]"
89bfe71d5ee89015a60b8a2b3187f9587d12e861c00a947410ec7795378ff292,5000 mAh,false,"[""- Fast battery 50W wired"",""50% in 19 min"",""100% in 56 min""]"
13f3b11875c13d3624e2975e9f8df76c9ea6ef8e560a9d10d7387e42b67a90c7,Si-Ca 5080 mAh,false,"[""- Fast battery 50W wired"",""50% in 22 min"",""100% in 64 min"",""7.5W reverse wired""]"
a484a0b3d5153115a95acc9463f1142ee6068b796801e7b59991abbc6b27a0bc,Si-Ca 5080 mAh,false,"[""- Fast battery 50W wired"",""50% in 19 min"",""100% in 56 min""]"
874860fd82ea6b96910e95e507108ccb61e387a40410e2a1b62dc8dd45031e14,6000 mAh,false,"[""- Fast charging 45W wired"",""33W PPS"",""13.5W PD"",""50% in 36 min""]"
047e5d40e9b76fc1e4f5a32869cd2ec56ba94005195216f3711c0ff2e52dbdd0,6000 mAh,false,"[""- Fast charging 45W wired"",""33W PPS"",""13.5W PD"",""50% in 36 min""]"
583c0b6bb846b06bb536e0f0dfcbc6546eeb3931dbe947d065d8f5af61a9f1a6,5100 mAh,false,"[""- Fast charging 45W""]"
4d98910a0077b235644868d9af092523886c100a68acb9b29f714d949add965a,7000 mAh,false,"[""- Fast battery 45W""]"
f5114d8f15495fa9b34df9e175f2607f659a35cab4489f5b8c38be19a5c500cd,Li-ion Si-Ca 7000 mAh,false,"[""- Fast charging 80W wired"",""33W PPS"",""13.5W PD"",""Reverse wired charging""]"
c3de8c0847f7a2aa4849f295bd48b35c739300c56604676cdf37c1f42d1a4324,Li-ion Si-Ca 7000 mAh,false,"[""- Fast charging 80W wired"",""33W PPS"",""13.5W PD"",""Reverse wired charging""]"
09f7fddd5d25ab68a14ab5cc973eb4cdd59cb92e67bf33a49c31c4146fee70c6,7000 mAh,false,"[""- Battery charging Wired"",""5W reverse wired""]"
fcba7aba3939c0ace7cbbd34d1baa2f7bc0875bcaf9e428d620b28ac5ecbe006,6100 mAh,false,"[""- Battery charging 15W wired""]"
8a67707b5e1cd6fdc94015871b2726fe2765eb15d480b076725e895625e40a07,6100 mAh,false,"[""- Battery charging 15W wired""]"
8fec41a82a58529407621ed5f8af6135c7763afdf872bb322280d59698a2c82d,Li-ion Si-Ca 7000 mAh,false,"[""- Fast battery 80W wired"",""33W PPS"",""13.5W PD"",""5W reverse wired""]"
94ea77d718951f7792deddabceffaf41357916c5ef30b1aef03125e3ba6d27cb,6500 mAh,false,"[""- 5W reverse wired""]"
82d40ece4f34e725e49575d906a7efa4a2e474ab05a7fa5dbccf33c906c64718,6500 mAh,false,"[""- 5W reverse wired""]"
7b331861edb5602fac1a04db9ff2811950e6c4dce5b6d0a268768eb3f48a2022,6000 mAh,false,"[""- Fast battery 80W wired"",""13.5W PD"",""33W PPS"",""Reverse wired""]"
4b8d2512aaa2a8fc245d0ea0cda7e2100f5284ce2849e5dc70667113713b5c27,6500 mAh,false,"[""- Fast battery 80W wired"",""80W UFCS"",""55W PPS"",""13.5W PD"",""13.5W QC"",""100% in 50 min"",""Reverse wired""]"
04cf26efc2467f7d7e62f46e9945dc84d1cead713066faf1c59fb7026daf87f5,6200 mAh,false,"[""- Fast battery 80W wired"",""13.5W PD"",""55W PPS"",""100% in 53 min"",""Reverse wired""]"
2601edd26a87527a49071ec3b6d20e662bc7e35c1149365d4a9e07d208942732,Li-ion Si-Ca 7000 mAh,false,"[""- Fast battery 80W wired"",""55W PPS"",""13.5W PD/QC"",""100% in 64 min"",""Reverse wired""]"
dd20c46956095267896777241f11412448f591aacde3bbe59275a7461a916797,Li-ion Si-Ca 7000 mAh,false,"[""- Fast battery 80W wired"",""55W PPS"",""13.5W PD/QC"",""Reverse wired"",""Bypass Charging""]"
8a1b4e658a4924becc155ade37432f6ada5aa66ed5eb4bfdbe2038c8bf7f587c,Li-ion Si-Ca 7000 mAh,false,"[""- Fast battery 80W wired"",""55W PPS，13.5W PD2.0，10W BC1.2"",""Reverse wired"",""Bypass Charging""]"
671cece05efe4ce2f9804669b1ad946753c41f843953429c027d0e6c4353638e,Li-ion Si-Ca 7000 mAh,false,"[""- 15W wired"",""PD"",""QC"",""Reverse wired""]"
2e14abf32d6ca77541ef662ffa6ca8b5ffe790b6a69c038b33a37ec6934973e4,Li-ion Si-Ca 7000 mAh,false,"[""- 15W wired"",""PD"",""QC"",""Reverse wired""]"
db9277edba0a3f4bf3457f3b2935a5b1d11599fb22b578534685fc14fc6684b8,Li-ion Si-Ca 7000 mAh,false,"[""- Fast charging 45W wired"",""Reverse wired"",""Bypass charging""]"
ea0b438dacdefaa91e0868b25396132c4d629ef033a28687aa37d4787593baee,Li-ion Si-Ca 7000 mAh,false,"[""- Fast charging 45W wired"",""Reverse wired"",""Bypass charging""]"
47022f3936dae5f65de88a20c9c4d52d7f890496ba652450a079e4c6664088c6,Li-ion Si-Ca 7000 mAh,false,"[""- Fast charging 45W wired"",""Reverse wired"",""Bypass charging""]"
fb7a7ef5b35e9c06eb5d9fcb0c17c779b870995aa29efa0e409e53e9c5f76fd1,Li-ion Si-Ca 7000 mAh,false,"[""- Fast charging 120W wired"",""14 min to 50%"",""40 min to 100%"",""7.5W reverse wired"",""Bypass charging""]"
06bfc36940b09cf3390ed5d361e3b135a19761529880923232a394637bfffecf,"(Non removable), 5000 mAh",false,"[""- Battery charging 10W wired""]"
304ae24508f9f71596d2b69e716d338b7c9dfde7cd3e8176b022faec1d9ddeb4,"(Non removable), 5000 mAh",false,"[""- Battery charging 10W wired""]"
20c579d2cb42e8e0c9e4ce78444a2a84c673f1b776524bae825f1a05b6b88c2b,6300 mAh,false,"[""- Battery charging 15W wired""]"
35106d23adf2f88e8c21504c3848848383f61408431e8d01950f75480051a7d3,5000 mAh,false,"[""- Fast charging 25W wired""]"
4a42bd60f4611f77d7c4defaa28d65cac6823395a81e89705e8f8eb51d507e32,5000 mAh,false,"[""- Fast charging 25W wired""]"
247056d786b08a36a8d37537c33b4447accaccd40414325fcec610a38e782688,5000 mAh,false,"[""- Fast battery 25W wired""]"
d8193e1a86d154110a833e815380f272b3796df63234e5b8423398413fc8b967,5000 mAh,false,"[""- Fast battery 25W wired"",""45% in 30 min""]"
