record_key,dimensions,weight,build,sim,protection
757632899e98ae1617a30e7a9e7504e97bedcd81a76135004d8a979e90c42b41,N/A,N/A,"IP54 water & dust resistance, Document viewer","Dual Sim, Dual Standby (Nano-SIM)","IP54 water & dust resistance, Document viewer"
63e2696ff9149395d47500985dc7c16fa5c528761f38c4b632134181de4d7b3f,N/A,N/A,"IP64 dust and water resistance, Photo/video editor, Document viewer","Dual Sim, Dual Standby (Nano-SIM)","IP64 dust and water resistance, Photo/video editor, Document viewer"
820fc5894c7818417b06e22d3e0b71ed9183d9381fee9fd2fa189bab02b06760,168.75 x 78.1 x 8.79mm,N/A,"Premium Finish with Panda Glass Protection, IP64, Circle to Search, MAVI - AI Features, Document viewer",Nano-SIM + Nano-SIM,"Premium Finish with Panda Glass Protection, IP64, Circle to Search, MAVI - AI Features, Document viewer"
72c56fab761c1584f3f437cfe59395e5b7ab84303d95d6743e8064a0304c8d4f,168.75 x 78.1 x 8.79mm,N/A,"Premium Finish with Panda Glass Protection, IP64, Circle to Search, MAVI - AI Features, Document viewer",Nano-SIM + Nano-SIM,"Premium Finish with Panda Glass Protection, IP64, Circle to Search, MAVI - AI Features, Document viewer"
5643c0b33d8a86e5f87aeeea179a7f380fef006d88578c7f802cb80a8209fa6a,N/A,N/A,"IP52 Dust and water resistance, Photo/video editor, Document viewer","Dual Sim, Dual Standby (Nano-SIM)","IP52 Dust and water resistance, Photo/video editor, Document viewer"
e65e3683bdffc06f6d972d20423f3722cb919a1a5b021baafd301cd2d0c7f485,163.85 x 75.75 x 8.7 mm,194 g,"NFC, (market/region dependent), Document viewer, Photo video/editor",Nano-SIM + Nano-SIM,"NFC, (market/region dependent), Document viewer, Photo video/editor"
ae06011c386c3dd16561f52a2c4f167a274ca071f79c4bc0d5933bcabe7c6c59,167 x 77 x 7.9 mm,186 g,"Document viewer, Photo/video editor",Nano-SIM + Nano-SIM,"Document viewer, Photo/video editor"
355e64cd3c6750ca54cea77df39231490f265e8364608a3f0aa0f661ee7c7d14,164 x 75.6 x 8.4 mm,199 g,"NFC (NIC-LX1, NIC-LX2 only), IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m",Nano-SIM + Nano-SIM,"NFC (NIC-LX1, NIC-LX2 only), IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m"
d5531078c97048ae8a6175d0b1f1329b29066672d2440fd83fbe72c23e6f1d14,162.4 x 77.2 x 8.2 mm,198 g,"Glass front + Gorilla Glass 7i), plastic frame, plastic back, IP64 dust tight and water resistant (water splashes), Customizable RGB LEDs on the back, Pressure sensitive zones (Gaming triggers)",Nano-SIM + Nano-SIM,"Glass front + Gorilla Glass 7i), plastic frame, plastic back, IP64 dust tight and water resistant (water splashes), Customizable RGB LEDs on the back, Pressure sensitive zones (Gaming triggers)"
2079d823ba7e978c7c7c2484843526663d5de9502b9d000f76574be3de59eea0,166 x 76.6 x 7.7 mm,188 g,"NFC (data transfer only; not for payments), Glass front, plastic back, plastic frame, IP64 dust tight and water resistant (water splashes), Drop resistant up to 1.5m",Nano-SIM + Nano-SIM,"NFC (data transfer only; not for payments), Glass front, plastic back, plastic frame, IP64 dust tight and water resistant (water splashes), Drop resistant up to 1.5m"
0d084dcf7326e146ce7de2a7952c3adfad3c091f6e74401d9d9c1f305cdaaaf5,166.9 x 79.5 x 7.9 mm,204 g,IP68 dust tight and water resistant (immersible up to 2m for 30 min),Nano-SIM + Nano-SIM,IP68 dust tight and water resistant (immersible up to 2m for 30 min)
6374958bfeca11749b533b3d8a22167222d758edb00c16bfc7a3c1bb05168e88,167.9 x 79.1 x 7.5 mm,195 g,"Glass front, plastic back, plastic frame, IP65 dust tight and water resistant (low pressure water jets), Drop resistant up to 1.5m",Nano-SIM + Nano-SIM,"Glass front, plastic back, plastic frame, IP65 dust tight and water resistant (low pressure water jets), Drop resistant up to 1.5m"
