record_key,data_snapshot,name,url,sound_loudspeaker,sound_cable_jack,colors_json,weight,price_json,source_file,file_sha256,completeness_score
757632899e98ae1617a30e7a9e7504e97bedcd81a76135004d8a979e90c42b41,2026-08-14T07:52:08+00:00,Dcode Bold 4,https://www.whatmobile.com.pk/Dcode_Bold-4,"3.5mm Audio Jack, Dual Speaker",true,"[""Various""]",Weight Unknown,[34999.0],whatmobile.com.pk/whatmobile__Dcode_Bold-4.json,624b75dcb90f027850ca015b691e8f07b5e48272d04fccdc2845be5293a7c0dd,0.87500
63e2696ff9149395d47500985dc7c16fa5c528761f38c4b632134181de4d7b3f,2026-08-14T07:47:49+00:00,Dcode Cygnal Evo,https://www.whatmobile.com.pk/Dcode_Cygnal-Evo,"3.5mm Audio Jack, MP3/WAV/eAAC+/FlAC player, DivX/Xvid/MP4/H.265 player, Speaker Phone",true,"[""Noir Blue"",""Titanium Gold""]",Weight Unknown,[33999.0],whatmobile.com.pk/whatmobile__Dcode_Cygnal-Evo.json,798e0a474df4d4fe52a06aac30873db6d2f260370db53fd45cd4aed16c319fed,0.87500
820fc5894c7818417b06e22d3e0b71ed9183d9381fee9fd2fa189bab02b06760,2026-08-14T07:50:27+00:00,Dcode Cygnal Prime,https://www.whatmobile.com.pk/Dcode_Cygnal-Prime,"3.5mm Audio Jack, Speaker Phone",true,"[""Gunmetal Grey"",""Smoky Titanium"",""Arctic White""]",Weight Unknown,[41999.0],whatmobile.com.pk/whatmobile__Dcode_Cygnal-Prime.json,a90ed4bc731f0dd12411d8c51d02f0ac516315d7f4b01cd498a042db94b98b4a,0.83333
72c56fab761c1584f3f437cfe59395e5b7ab84303d95d6743e8064a0304c8d4f,2026-08-14T07:50:22+00:00,Dcode Cygnal Ultra,https://www.whatmobile.com.pk/Dcode_Cygnal-Ultra,"3.5mm Audio Jack, Speaker Phone",true,"[""Starlight Silver"",""Gunmetal Grey""]",Weight Unknown,[45999.0],whatmobile.com.pk/whatmobile__Dcode_Cygnal-Ultra.json,df2dcc15f2dccca58d8abd3b51d193e9fcab2f5f1524dac955f4148274ded569,0.83333
5643c0b33d8a86e5f87aeeea179a7f380fef006d88578c7f802cb80a8209fa6a,2026-08-14T07:51:13+00:00,Dcode Cygnal X,https://www.whatmobile.com.pk/Dcode_Cygnal-X,"3.5mm Audio Jack, Speaker Phone",true,"[""Arctic White"",""Ivory Titanium"",""Gunmetal Grey""]",Weight Unknown,[30500.0],whatmobile.com.pk/whatmobile__Dcode_Cygnal-X.json,dd6a0369862ea148a9cf0442189d6da91489957ddc3b834ac45af629afde68b9,0.83333
e65e3683bdffc06f6d972d20423f3722cb919a1a5b021baafd301cd2d0c7f485,2026-08-14T07:52:58+00:00,Honor X5b Plus,https://www.whatmobile.com.pk/Honor_X5b-Plus,"3.5mm Audio Jack, Speaker Phone",true,"[""Ocean Blue"",""Starry Purple"",""Midnight Black""]",Weight Unknown,[26999.0],whatmobile.com.pk/whatmobile__Honor_X5b-Plus.json,6acc9f03ba238e1571a6d614d8e2cdbc258c484cf6416b3155bca3919a783f4d,0.87500
ae06011c386c3dd16561f52a2c4f167a274ca071f79c4bc0d5933bcabe7c6c59,2026-08-14T07:51:58+00:00,Honor X5c Plus,https://www.whatmobile.com.pk/Honor_X5c-Plus,"3.5mm Audio Jack, Speaker Phone",true,"[""Ocean Cyan"",""Midnight Black""]",Weight Unknown,[35999.0],whatmobile.com.pk/whatmobile__Honor_X5c-Plus.json,9e7c5b09a30a3632dd09bbf929792288ac89379d94c81740e708db4de8084daa,0.87500
355e64cd3c6750ca54cea77df39231490f265e8364608a3f0aa0f661ee7c7d14,2026-08-14T07:53:31+00:00,Honor X6C 256GB,https://www.whatmobile.com.pk/Honor_X6C-256GB,"3.5mm Audio Jack, MP4/H.264 player, MP3/eAAC+/WAV/Flac player, Speaker Phone",true,"[""Midnight Black"",""Ocean Cyan"",""Moonlight White""]",Weight Unknown,[49999.0],whatmobile.com.pk/whatmobile__Honor_X6C-256GB.json,802b6bed06f32e5f2155b5b5e46897cace3775d29fb45ca13d5a3471975edd64,0.87500
d5531078c97048ae8a6175d0b1f1329b29066672d2440fd83fbe72c23e6f1d14,2026-08-14T07:48:02+00:00,Infinix GT 50 Pro,https://www.whatmobile.com.pk/Infinix_GT-50-Pro,"24-bit/192kHz Hi-Res & Hi-Res Wireless audio, Speaker Phone",false,"[""Black Abyss"",""Red Blaze"",""Silver Glacier""]",Weight Unknown,[159999.0],whatmobile.com.pk/whatmobile__Infinix_GT-50-Pro.json,90729fe863b24a7f2159c268f0c89752dedcad153638ed82c9d1e92aa0bb39d7,0.87500
2079d823ba7e978c7c7c2484843526663d5de9502b9d000f76574be3de59eea0,2026-08-14T07:49:46+00:00,Infinix Hot 60i 8GB,https://www.whatmobile.com.pk/Infinix_Hot-60i-8GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Sleek Black"",""Titanium Silver"",""Shadow Blue"",""Neon Red"",""Meadow Green"",""Soul Eye Purple""]",Weight Unknown,[57999.0],whatmobile.com.pk/whatmobile__Infinix_Hot-60i-8GB.json,5f461879af9810d31c218c8424e182e9b3ab6b7ea80113508e5ea40187a0f52d,0.87500
